title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era,filename
Rāmanāmajapalekhanavratodhayāpana/Rāmanāmajapalekhanakathā,BOO00002600,"Bhandarkar Oriental Research Institute, Pune",10) Bharata Itihasa Sanshodhana Mandala (Arti Pawar),,,600,,,Sanskrit,Devanagari,,,,,,,,,29,29.2336 B,,Complete,6,,,20.5,10.5,,Plant Products -> Paper / कागज,,Purāṇa,,,22/09/2010,,,No,,,,,No,No,,,,,,,manus_dt:,,
Prākṛtabhārata,BSO00010638,Bharata Itihasa Sanshodhana Mandala,Sanskrit Sanskriti Sansodhika (Santirka),,,638,,,Marathi,Devanagari,,,,,,,,,,480.34,,Complete,8,,,25,10,,Plant Products -> Paper / कागज,,Purāṇa,,,23/09/2010,,,No,,,,,No,No,,,,,,,manus_dt:,,
Satyanārāyaṇavratakathā (Skandapurāṇāntargata ),BOO00002638,"Bhandarkar Oriental Research Institute, Pune",14) Bharata Itihasa Sanshodhana Mandala (Khandekar),,,638,,Sītārāmaghopedharakara,Sanskrit,Devanagari,,,,,,,,,65,65.1119,,Complete,15,,,20,10,,Plant Products -> Paper / कागज,,Dharmaśāstra,,,21/01/2011,,,No,,,,,No,No,,,,,,,manus_dt: Śaka 1803,,
Bhāgavadsaṅdhrvasatīka (Tatvasaṅdhrva ),ROI000793203,"Rajasthan Oriental Research Institute, Jodhpur",राजस्थान प्राच्य विद्या प्रतिष्ठान,,,3203,,,,,,,,,,,,,,1797,,,,57,,,,,Plant Products -> Paper / कागज,,,,,09/07/2015,,,No,,,,,No,No,,,,,,,manus_dt:,,
Saṃhitā-Prathamāṣṭaka,BOO000021362,"Bhandarkar Oriental Research Institute, Pune",69) Bharata Itihasa Sansodhana Mandala (Digitization),,,1362,,,Sanskrit,Devanagari,,,,,,,,,29A,29A_2855,,,,215,,,,,Plant Products -> Paper / कागज,"Bad, Worm eaten",,,,10/07/2012,,,No,,,,,No,No,,,,,,,manus_dt:,,
Raghuvaṁśaṭīkā,BOO00002637,"Bhandarkar Oriental Research Institute, Pune",14) Bharata Itihasa Sanshodhana Mandala (Khandekar),,,637,,,Sanskrit,Devanagari,,,,,,,,,65,65.1372,,Incomplete,8,109-116,,21,9,,Plant Products -> Paper / कागज,,Kāvya,,,21/01/2011,,,No,,,,,No,No,,,,,,,manus_dt:,,
Nāradasaṁhitā,BOO00002639,"Bhandarkar Oriental Research Institute, Pune",14) Bharata Itihasa Sanshodhana Mandala (Khandekar),,,639,,,Sanskrit,Devanagari,,,,,,,,,65,65.1115,,Incomplete,100,,,23,10,,Plant Products -> Paper / कागज,"Bad, Stained",Dharmaśāstra,,,21/01/2011,,,No,,,,,No,No,,,,,,,manus_dt:,,
Yāmasūkta,OMO00001844,"Oriental Research Institute, Mysore","Oriental Reserch Institute,Mysore",,,844,,,Sanskrit,Nandinagari,,,,,,,,,,P.10254/1,,Complete,1-18,,,40,4,,Plant Products -> Palm leaf / ताड़ पत्र,,,,,12/06/2012,,,No,,,,,No,No,,,,,,,manus_dt:,,
Mahālayapārvaṇavidhi,GJO00001694,Raastriya Sanskrita Sansthana (Manita Visvavidhayalaya),Raastriya Sanskrita Sansthana (Manita Visvavidhayalaya),,,694,,Indramaṇimiśra,Sanskrit,Devanagari,,,,,,,,,,11914,,Incomplete,10,20,1-2,21.3,11.2,,Plant Products -> Paper / कागज,,Dharmaśāstra,,,29/12/2010,,,No,,,,,No,No,,,,,,,manus_dt: Saṁvad 1840,,
Brahmaśāpavimocanamantra/Gāyatrīmantra,BOO00002601,"Bhandarkar Oriental Research Institute, Pune",10) Bharata Itihasa Sanshodhana Mandala (Arti Pawar),,,601,Prajāpatiṛiṣi,,Sanskrit,Devanagari,,,,,,,,,29,29.2334,,Complete,2,,,21,10,,Plant Products -> Paper / कागज,,Mantra,,,23/09/2010,,,No,,,,,No,No,,,,,,,manus_dt:,,
