title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era,filename
बावन अनाचार,ROI001517078,"Rajasthan Oriental Research Institute, Jodhpur",अभय जैन ग्रन्थालय,,,7078,,,Rajasthani,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,9,17451,,Complete,,2,,,,,Plant Products -> Paper / कागज,,Jaina darśana,,,21/02/2008,,,No,,,,,No,No,,,,,,,manus_dt: 18वीं श.,,
प्रतिक्रमण,ROI001517086,"Rajasthan Oriental Research Institute, Jodhpur",अभय जैन ग्रन्थालय,,,7086,,,Prakrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,9,17385,,Complete,,8,,,,,Plant Products -> Paper / कागज,,Jaina Sūtra,,,21/02/2008,,,No,,,,,No,No,,,,,,,manus_dt: 18वीं श.,,
उदयपुरगजल,ROI001517085,"Rajasthan Oriental Research Institute, Jodhpur",अभय जैन ग्रन्थालय,,,7085,,,Hindi,Devanagari,,,,,,,,,5,7680,,Complete,,4,,,,,Plant Products -> Paper / कागज,,Kāvya,,,21/06/2007,,,No,,,,,No,No,,,,,,,manus_dt: 20वीं श.,,
बंधीशतकर,ROI001517083,"Rajasthan Oriental Research Institute, Jodhpur",अभय जैन ग्रन्थालय,,,7083,,,Rajasthani,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,9,17422,,Complete,,1,,,,,Plant Products -> Paper / कागज,,Jaina,,,21/02/2008,,,No,,,,,No,No,,,,,,,manus_dt: 1915वि.सं,,
"स्नात्र विधि, आदिनाथ जन्माभिषेक",ROI001517080,"Rajasthan Oriental Research Institute, Jodhpur",अभय जैन ग्रन्थालय,,,7080,भानुमन,,Rajasthani,Devanagari,,,Sanskrit,Not Available,,,Prakrit,Not Available,9,17619,,Complete,10,,,,,,Plant Products -> Paper / कागज,,Jaina Pūjā,,,22/02/2008,,,No,,,,,No,No,,,,,,,manus_dt: 18वीं श.,,
बारह मास,ROI001517084,"Rajasthan Oriental Research Institute, Jodhpur",अभय जैन ग्रन्थालय,,,7084,आसोसभवित,,Rajasthani,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,9,17454,,Complete,1,,,,,,Plant Products -> Paper / कागज,,Jaina,,,21/02/2008,,,No,,,,,No,No,,,,,,,manus_dt: 18वीं श.,,
नीतिहत व शनिश्वर नी कथा,ROI001517082,"Rajasthan Oriental Research Institute, Jodhpur",अभय जैन ग्रन्थालय,,,7082,,,Rajasthani,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,9,17856,,Complete,3,,,,,,Plant Products -> Paper / कागज,,Jaina,,,23/02/2008,,,No,,,,,No,No,,,,,,,manus_dt: 19वीं श.,,
श्री जिनराज सूरि गीत,ROI001517079,"Rajasthan Oriental Research Institute, Jodhpur",अभय जैन ग्रन्थालय,,,7079,धरमसोम,,Rajasthani,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,9,18061,,Complete,1,,,,,,Plant Products -> Paper / कागज,,Jaina,,,26/02/2008,,,No,,,,,No,No,,,,,,,manus_dt: 19वीं श.,,
हंसराज बच्छ राजकथा,ROI001517081,"Rajasthan Oriental Research Institute, Jodhpur",अभय जैन ग्रन्थालय,,,7081,,,Rajasthani,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,9,17864,,Incomplete,1,,,,,,Plant Products -> Paper / कागज,,Jaina,,,23/02/2008,,,No,,,,,No,No,,,,,,,manus_dt: 1921वि.सं,,
बीस कन्या तथा बेटा जन्म रा श्लोक ??,ROI00172619,"Rajasthan Oriental Research Institute, Jodhpur","जसवन्त सिंह सिघंवी, निजी पुस्तकालय, उदयपुर (राज.)",,,619,,,Hindi,Devanagari,,,Rajasthani,,,,,,,519,,Complete,1-17,17,,21,12,,Plant Products -> Paper / कागज,,Stotra,,,01/01/2002,,,No,,,,,No,No,,,,,,,manus_dt: 19 वीं,,
गुण ठाणा का बासठिया,ROI001517087,"Rajasthan Oriental Research Institute, Jodhpur",अभय जैन ग्रन्थालय,,,7087,,,Rajasthani,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,9,18115,,Complete,8,,,,,,Plant Products -> Paper / कागज,,Jaina,,,26/02/2008,,,No,,,,,No,No,,,,,,,manus_dt: 19वीं श.,,
श्रीगौडीपार्श्वनाथ जी रो भय निवारणछंद,ROI001517091,"Rajasthan Oriental Research Institute, Jodhpur",अभय जैन ग्रन्थालय,,,7091,धर्मसिंह,,Rajasthani,Devanagari,,,,,,,,,5,8420,,Complete,,2,,,,,Plant Products -> Paper / कागज,,Jaina,,,27/06/2007,,,No,,,,,No,No,,,,,,,manus_dt: 1638वि.सं,,
शांतिस्तवन,ROI001517089,"Rajasthan Oriental Research Institute, Jodhpur",अभय जैन ग्रन्थालय,,,7089,कीर्तिसुंदर,कीर्तिसुंदर,Sanskrit,Devanagari,,,,,,,,,5,8314,,Complete,,1,,,,,Plant Products -> Paper / कागज,,Jaina,,,27/06/2007,,,No,,,,,No,No,,,,,,,manus_dt: 20वीं श.,,
