title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era
जीवविचार प्रकरण,LDI000016568,"Lalbhai Dalpatbhai Institute of Indology, Ahmedabad",एल. डी. इंस्टिट्यूट औफ इन्डोलौजी,,,6568,शांतिसूरि,मुनि गुलालकुशल,Prakrit,Devanagari,सहस्तबक,,Gujarati,,,,,,गा. 51,7754,,Complete,4,,,24.5,11.4,,Plant Products -> Paper / कागज,,Darśana,,,13/05/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
संग्रहणी प्रकरण,LDI000016576,"Lalbhai Dalpatbhai Institute of Indology, Ahmedabad",एल. डी. इंस्टिट्यूट औफ इन्डोलौजी,,,6576,श्रीचंद्रसूरि,,Prakrit,Devanagari,सहस्तबक,,Gujarati,,,,,,गा. 328,7562,,Complete,42,,,25.9,11,,Plant Products -> Paper / कागज,,Jain-Bhugol,,,12/05/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
जिनस्तोत्र रत्नकोश द्वितीय प्रस्ताव,LDI000016571,"Lalbhai Dalpatbhai Institute of Indology, Ahmedabad",एल. डी. इंस्टिट्यूट औफ इन्डोलौजी,,,6571,मुनि सुंदरसूरि,,Sanskrit,Devanagari,,,,,,,,,स्तोत्ररत्न 1-24,7684,,Complete,4,,,26.1,11.3,,Plant Products -> Paper / कागज,,Stotra,,,13/05/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
आवश्यकसूत्र,LDI000016569,"Lalbhai Dalpatbhai Institute of Indology, Ahmedabad",एल. डी. इंस्टिट्यूट औफ इन्डोलौजी,,,6569,,,Prakrit,Devanagari,,,,,,,,,,7696,,Complete,50,,पत्र 45-48 नथी.,26.2,11.2,,Plant Products -> Paper / कागज,"Bad, Brittle",Aavashyaka,,,13/05/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
सुंरसुंदरी रास,LDI000016572,"Lalbhai Dalpatbhai Institute of Indology, Ahmedabad",एल. डी. इंस्टिट्यूट औफ इन्डोलौजी,,,6572,कवि नयसुंदर,,Gujarati,Devanagari,,,,,,,,,700,7763,,Complete,19,,,24.6,11,,Plant Products -> Paper / कागज,,Kāvya,,,14/05/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
अंजनासती रास,LDI000016575,"Lalbhai Dalpatbhai Institute of Indology, Ahmedabad",एल. डी. इंस्टिट्यूट औफ इन्डोलौजी,,,6575,,,Gujarati,Devanagari,,,,,,,,,सर्वगा. 160,7836,,Complete,10,,,25,10.9,,Plant Products -> Paper / कागज,,Jaina,Kāvya,,14/05/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
जयपाहुड प्रश्न व्याकरण,LDI000016573,"Lalbhai Dalpatbhai Institute of Indology, Ahmedabad",एल. डी. इंस्टिट्यूट औफ इन्डोलौजी,,,6573,,,Prakrit,Devanagari,वृत्ति,,Sanskrit,,,,,,,7619,,Complete,48,,,,,,Plant Products -> Paper / कागज,,,,,12/05/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
गुरु स्तुति,LDI000016574,"Lalbhai Dalpatbhai Institute of Indology, Ahmedabad",एल. डी. इंस्टिट्यूट औफ इन्डोलौजी,,,6574,,,Gujarati,Devanagari,,,,,,,,,15,10260,,Complete,1,,,26,11,,Plant Products -> Paper / कागज,,Stotra,,,12/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
नवतत्व प्रकरण,LDI000016570,"Lalbhai Dalpatbhai Institute of Indology, Ahmedabad",एल. डी. इंस्टिट्यूट औफ इन्डोलौजी,,,6570,,,Prakrit,Devanagari,सहस्तबक,रुपचंद्रमुनि,Gujarati,,,,,,गा. 48,7733,,Complete,13,,,25.3,11.6,,Plant Products -> Paper / कागज,,Darśana,,,13/05/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
नाममाला रचवा माटेना शब्दोनी यादी संग्रह,LDI000016577,"Lalbhai Dalpatbhai Institute of Indology, Ahmedabad",एल. डी. इंस्टिट्यूट औफ इन्डोलौजी,,,6577,,,Sanskrit-Hindī,Devanagari,,,,,,,,,,7479,,Complete,8,,,,,,Plant Products -> Paper / कागज,,,,,11/05/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
