title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era
Rishala-e-Keemiya,NUI0059344,Uttar Pradesh Survey,Sultan-Uf-Madaris,,,44,,,Persian,-,,,,,,,,,,,,Complete,,,,,,,Plant Products -> Paper / कागज,,,,,14/09/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Tafseer e yakubi,NUI0005016,Uttar Pradesh Survey,Sajjada Nashin,,,16,Yaqub ibn usman,,Arabic,Arabic,,,,,,,,,,,,Complete,400,800,,21,14,,Plant Products -> Paper / कागज,Bad,Dharmaśāstra,,,27/09/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1500 AD,
Zubdat-ut-Tawarekh,NUI0059345,Uttar Pradesh Survey,Sultan-Uf-Madaris,,,45,,,Persian,-,,,,,,,,,,,,Complete,,,,,,,Plant Products -> Paper / कागज,,,,,14/09/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Śivāṣṭottaraśatanāmastotra,NUO0006993,Uttar Pradesh Survey,Rastriya Sanskrit Sansthan (Deemed University),,,93,,,Sanskrit,Devanagari,,,,,,,,,,2440/505,,Incomplete,2,,,14.3,7.6,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Stotra,,,30/09/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Gītāsāra,NUO0006994,Uttar Pradesh Survey,Rastriya Sanskrit Sansthan (Deemed University),,,94,,,Sanskrit,Devanagari,,,,,,,,,,192/35,,Incomplete,8,,1,21,10,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Gītā,,,30/09/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Quran sharif,NUI0005015,Uttar Pradesh Survey,Sajjada Nashin,,,15,Hazrat shah ajmal allahabadi,,Persian,Persian,,,,,,,,,,,,Complete,400,800,,29,18,,Plant Products -> Paper / कागज,Bad,Qurān,,,27/09/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1765 AD,
Nārāyaṇopaniṣad,NUO0006992,Uttar Pradesh Survey,Rastriya Sanskrit Sansthan (Deemed University),,,92,,,Sanskrit,Devanagari,,,,,,,,,,154/105,,Complete,,,,18.5,11.3,,Plant Products -> Paper / कागज,,,,,27/09/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Aparokṣānubhava,NUO0006485,Uttar Pradesh Survey,Allahabad Sangrhalaya,,,85,,,Sanskrit,Devanagari,,,,,,,,,175,465,,Incomplete,6,,,,,,Plant Products -> Paper / कागज,"Bad, Brittle",Darśana,,,30/09/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Mahābhārata-Śalyaparva,NUO0006484,Uttar Pradesh Survey,Allahabad Sangrhalaya,,,84,,,Sanskrit,Devanagari,,,,,,,,,184,36,,Incomplete,48,,,,,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Itihāsa/Tārīḵẖ,,,30/09/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Vyāptyānugamajāgadīśī,NUO0006995,Uttar Pradesh Survey,Rastriya Sanskrit Sansthan (Deemed University),,,95,Jagadīśabhaṭṭācārya,,Sanskrit,Tirhuta/Mithilakshar‎,,,,,,,,,,3043/190,,Incomplete,10,,,37.5,9.7,,Plant Products -> Paper / कागज,,Darśana,,,27/09/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Rudra,NUO0006486,Uttar Pradesh Survey,Allahabad Sangrhalaya,,,86,,,Sanskrit,Devanagari,,,,,,,,,175,480,,Incomplete,19,,,,,,Plant Products -> Paper / कागज,"Bad, Brittle",,,,30/09/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Prabhā,NUI002104,Uttar Pradesh Survey,Jag Jeevan,,,4,Bālakṛṣṇa Śarmā,,Hindi,Devanagari,,,,,,,,,,,,Complete,37,,,,,,Plant Products -> Paper / कागज,"Bad, Broken",,,,12/09/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Adhyātmarāmāyaṇa,NUO0006229,Uttar Pradesh Survey,Sri Vallabharama Saligram Samveda Vidayalaya (Laksanam Pustakalaya),,,29,,,Sanskrit,Devanagari,,,,,,,,,38,65,,,47,,,,,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Itihāsa,,,27/09/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1897,
Aśaucadīpikā,TTI0028021,"Thunchan Memorial Trust,Tirur",Rishikesan Nambootiri,,,21,,,Sanskrit,Malayalam,,,,,,,,,,,,Complete,50,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Dharmaśāstra,,,15/10/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Caṭaṅgu,TTI0028023,"Thunchan Memorial Trust,Tirur",Rishikesan Nambootiri,,,23,,,Malayalam,Malayalam,,,,,,,,,,,,Complete,90,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Dharmaśāstra,,,15/10/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Viṣṇupūjā,TTI0028022,"Thunchan Memorial Trust,Tirur",Rishikesan Nambootiri,,,22,,,Sanskrit,Malayalam,,,,,,,,,,,,Complete,80,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Dharmaśāstra,,,15/10/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Risala-e-AbulKhair,NUI0059346,Uttar Pradesh Survey,Sultan-Uf-Madaris,,,46,,,Persian,Persian,,,,,,,,,,,,Complete,,,,,,,Plant Products -> Paper / कागज,,,,,14/09/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Miśṛtamāhātmya,NUO0003448,Uttar Pradesh Survey,Sri Kasiraj Sarasvati Bhandar,,,48,Vyāsa,,Sanskrit,Devanagari,,Kamlādutta,,,,,,,,,,Complete,,72,,,,,Plant Products -> Paper / कागज,,Māhātmya,,,27/09/2005,,,No,,,,,No,No,,,,,,,manus_dt: s.1912,
Ānandalaharī,NUO0006996,Uttar Pradesh Survey,Rastriya Sanskrit Sansthan (Deemed University),,,96,Śaṅkarācārya,,Sanskrit,Devanagari,,,,,,,,,,1989/54,,Complete,,,,19,7.5,,Plant Products -> Paper / कागज,,Stotra,,,30/09/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
