title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era
Rāmāyaṇa (Prathamaskndha),NOI1016514,"OSM, Bhubaneswar",Santosh Ku. Mishra,,,14,,,Sanskrit,Oriya,,Mukteśvaramiśrā,,,,,,,2,2,,Complete,420,,,42.5,,,Plant Products -> Palm leaf / ताड़ पत्र,,Itihāsa,,,16/12/2005,,,No,,,,,No,No,,,,,,,manus_dt: Before 1900 A.D.,
Aprājitāstotra,NOO00239113,"OSM, Bhubaneswar",Dept. of Sanskrit,,,113,,,Sanskrit,Oriya,,,,,,,,,36/3,,,Complete,15,30,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Brittle",,,,15/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Ādimahāsuravaddha,NOI02397185,"OSM, Bhubaneswar",Fakiracharan Parida,,,185,,,Oriya,Oriya,,,,,,,,,,,,Incomplete,7,14,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Purāṇa,,,15/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Kāvyanīrṇayasiṅddhu,NOI02398144,"OSM, Bhubaneswar",Ramesh Ch. Chaudhury,,,144,,,Sanskrit,Oriya,,,,,,,,,165,,,Incomplete,83,166,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Kāvya,,,15/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Bhāgavata  (Kṛṣṇajanama),NOI0235425,"OSM, Bhubaneswar",Sura Sahoo,,,25,Jagannāthadāsa,,Oriya,Oriya,,,,,,,,,2,,,Complete,17,34,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Purāṇa,,,15/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Bhāgavata,NOI139391,"OSM, Bhubaneswar",Narsingha Purohita,,,1,,,Oriya,Oriya,,,,,,,,,,,,Complete,,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Purāṇa,,,24/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Harivaṁśa,NOI1016515,"OSM, Bhubaneswar",Santosh Ku. Mishra,,,15,Mukteśvaramiśra,,Sanskrit,Oriya,,,,,,,,,5,12,,Complete,530,,,47.5,,,Plant Products -> Palm leaf / ताड़ पत्र,,Purāṇa,,,16/12/2005,,,No,,,,,No,No,,,,,,,manus_dt: Before 1850,
ललितासहस्रनामावली,ROO00008734,"Rajasthan Oriental Research Institute, Jodhpur",92 राजस्थान प्राच्य विद्या प्रतिष्ठान,,,734,वेदव्यास,,Sanskrit,Devanagari,,,,,,,,,,1817,,Complete,57,,,,,,Plant Products -> Paper / कागज,,Stotra,,,20/10/2004,,,No,,,,,No,No,,,,,,,manus_dt: 18वि.स.,
Śrīmadbhāgavata,NOI02400251,"OSM, Bhubaneswar",Nrusingh Panda,,,251,Jagannāthadāsa,,Oriya,Oriya,,,,,,,,,61,,,Incomplete,102,204,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Purāṇa,,,15/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Ārjunagītā,NOI0046657,"OSM, Bhubaneswar",Bholeswar Mohanty,,,57,Dinakṛṣṇadāsa,,Oriya,Oriya,,,,,,,,,604,604,,Complete,85,169,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Gītā,,,16/05/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Bhāgavata (Saptamaskandha),NOO00238110,"OSM, Bhubaneswar",Jaganatha Sanskrit University,,,110,Jagannāthadāsa,,Oriya,Oriya,,,,,,,,,,,,Complete,105,209,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Purāṇa,,,14/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Vaidehīśavilāsa,NOI02400252,"OSM, Bhubaneswar",Nrusingh Panda,,,252,,,Oriya,Oriya,,,,,,,,,64,,,Incomplete,95,190,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Kāvya,,,15/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Nṛsiṃhapurāṇa,NOI1160286,"OSM, Bhubaneswar",Adhikari Vasidhara Das,,,86,Pītāmabaradāśa,,Oriya,Oriya,,,,,,,,,,285,,Complete,363,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Purāṇa,,,24/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
"प्रस्तावरत्नकर,तरुमहिभाव",ROI0004483,"Rajasthan Oriental Research Institute, Jodhpur",43 श्री श्वेताम्बर पल्लीवाल जैन मंदिर,,,83,हरिदास,,Sanskrit,Devanagari,,,,,,,,,,83,,Incomplete,10,,1-70,,,,Plant Products -> Paper / कागज,Bad,Jaina,,,26/07/2004,,,No,,,,,No,No,,,,,,,manus_dt: 19वि.स.,
Harivaṁśa (Saptamabhāga),NOI1600821,"OSM, Bhubaneswar",Sarojranjan Panda,,,21,Acyutānandadāsa,,Oriya,Oriya,,,,,,,,,7,,,Complete,130,260,,3,30,,Plant Products -> Palm leaf / ताड़ पत्र,,Purāṇa,Itihāsa,,24/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
