title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era,filename
जिन मंगल स्तोत्र,ROI00101308,"Rajasthan Oriental Research Institute, Jodhpur",श्री दिगम्बर जैन बड़ा मंदिर,,,308,,,Hindi,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,305,,Complete,7,,,21,12,,Plant Products -> Paper / कागज,,Jaina,,,23/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: 19वीं श.,,
देवपूजा,KJO000341480,"Kund-Kund Jnanapith,Tukoganj",कुन्दकुन्द ज्ञानपीठ,,,1480,,,Hindi,Devanagari,,,Sanskrit,,,,,,135,441,,Complete,2,,,23,17,,Plant Products -> Paper / कागज,,Jaina,,,12/12/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
तत्त्वार्थसूत्रभाषा,SPI00026319,"Satshrut Prabhavana Trust,Bhavanagar","028. श्री दि. जैन मंदिर, महापूत जिनालय",,,319,,,,,,,,,,,,,46,"46,2",,Complete,40,,,28,19,,Plant Products -> Paper / कागज,,Jaina,,,23/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: प्रतिलिपि वर्ष - 1947 वि. सं.,,
दुधारसव्रतकथा,SPI00029311,"Satshrut Prabhavana Trust,Bhavanagar","030. आ. कुन्दकुन्द सरस्वती भवन, टोडरमल स्मारक ट्रस्ट",,,311,,हरिसिंह द्विवेदी,,,,,,,,,,,60,"60,16",,Complete,3,,,23,16,,Plant Products -> Paper / कागज,,Jaina,,,14/09/2006,,,No,,,,,No,No,,,,,,,manus_dt: प्रतिलिपि वर्ष 1844 वि.सं.,,
तर्क संग्रह,ROI00130353,"Rajasthan Oriental Research Institute, Jodhpur",श्री दादू द्वारा मुख्य पीठ नरायना,,,353,अन्नभट्ट,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,,179,,Incomplete,5,,अंत के पत्र,26.6,13.6,,Plant Products -> Paper / कागज,Bad,Nyāya,,,13/12/2006,,,No,,,,,No,No,,,,,,,manus_dt: 19वीं श.,,
दुर्गासप्तशतीटीका,BPO00006307,Lakshman Pustakalaya,भृगुकार्यालय,,,307,नागोजीभट्ट,अज्ञात,,,सटीक,,,,,,,,,,,Incomplete,25,50,25 के बाद,9.4,3.2,,Plant Products -> Paper / कागज,"Bad, Brittle",Tantra/Ṯilism,,,18/10/2007,,,No,,,,,No,No,,,,,,,manus_dt: अज्ञात,,
दर्शेष्टिप्रयोग,BOO00002318,"Bhandarkar Oriental Research Institute, Pune",BISM (Thite Collection),,,318,,बाळकृष्ण देव,Sanskrit,Devanagari,,,,,,,,,36,1827,,Complete,4,,,21,10,,Plant Products -> Paper / कागज,,Vedāṅga,,,04/01/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
ढोला मारु रा दूहा,ROI00007307,"Rajasthan Oriental Research Institute, Jodhpur",राजस्थान राज्य अभिलेखागार,,,307,,खेतसिम्हा,Rajasthani,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,72,8,,Complete,,28,,,,,Plant Products -> Paper / कागज,,Kāvya,,,20/09/2006,,,No,,,,,No,No,,,,,,,manus_dt: 19वीं श.,,
दर्शेष्टिप्रयोग,BOO00002318,"Bhandarkar Oriental Research Institute, Pune",BISM (Thite Collection),,,318,,बाळकृष्ण देव,Sanskrit,Devanagari,,,,,,,,,36,1827,,Complete,4,,,21,10,,Plant Products -> Paper / कागज,,Vedāṅga,,,04/01/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
दशलक्षणपूजा,SPI00031353,"Satshrut Prabhavana Trust,Bhavanagar","श्री दि. जैन मंदिर, पं. लूणकरण जी पाण्ड्या, रामगंज  बाजार",,,353,,,,,,,,,,,,,84,"84,3",,Complete,1,,,28,13,,Plant Products -> Paper / कागज,,Jaina,,,21/09/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
दशाफल,BOO000021459,"Bhandarkar Oriental Research Institute, Pune",Deccan College,,,1459,,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,-,7044,,Complete,7,-,,21.8,11.1,-,Plant Products -> Paper / कागज,"Bad, Brittle",Jyotiṣa,,,17/05/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
दशाफल,BOO000021459,"Bhandarkar Oriental Research Institute, Pune",Deccan College,,,1459,,,Sanskrit,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,-,7044,,Complete,7,-,,21.8,11.1,-,Plant Products -> Paper / कागज,"Bad, Brittle",Jyotiṣa,,,17/05/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
धर्मविलास,SOO00021306,"Scindia Oriental Research Institute, Ujjain",81. श्री दिगम्बर जैन खण्डेलवाल तेरापन्थी गोठ मन्दिर,,,306,द्यानतराय जी,,Hindi,Devanagari,,,Not Available,Not Available,,,Not Available,Not Available,214,214,,Complete,170,340,,,,,Plant Products -> Paper / कागज,,Jaina,,,10/01/2006,,,No,,,,,No,No,,,,,,,manus_dt: संवत् 1913,,
