title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era,filename
Bhāgavata (skandha-4),IGI023342,"Indira Gandhi National Centre for the Arts, Delhi","Padmanav Puhana, Kharasahapur",,,2,Jaganāthadāsa,,Oriya,Oriya,,,Not Available,Not Available,,,Not Available,Not Available,,18,,Incomplete,78,156,,16,3 1/2,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Purāṇa,,,11/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Bhāgavata,IGI0229511,"Indira Gandhi National Centre for the Arts, Delhi","Dinabandhu Mohanty, Post Sainkola Puruna Baripada",,,11,Jagannāthadāsa,,Oriya,Oriya,,,Not Available,Not Available,,,Not Available,Not Available,23,,,Incomplete,176,350,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Purāṇa,,,07/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Bhāgavata (skandha-2),IGI023239,"Indira Gandhi National Centre for the Arts, Delhi","Paresh Chandra Dash,Kharasahap",,,9,Jagannāthadāsa,,Oriya,Oriya,,Suderśanadevaśarmā,Not Available,Not Available,,,Not Available,Not Available,,22,,Complete,,116,,14,2,,Plant Products -> Palm leaf / ताड़ पत्र,,Purāṇa,,,08/07/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1270 Sal,,
Bhāgavadgītā,IGI0241317,"Indira Gandhi National Centre for the Arts, Delhi","Narayan Mohapatra, Alarupur",,,17,Śrīkṛṣṇa,,Sanskrit,Oriya,,,Not Available,Not Available,,,Not Available,Not Available,105,,,Complete,162,323,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Gītā,,,21/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Bhāgavata (Navamaskandha),IGI0231150,"Indira Gandhi National Centre for the Arts, Delhi","Rasmiranjan Mohanty, Bandhakata",,,50,Jagannāthadāsa,,Oriya,Oriya,,,Not Available,Not Available,,,Not Available,Not Available,,,,Complete,35,70,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Purāṇa,,,08/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Bhāgavata,IGI106421,"Indira Gandhi National Centre for the Arts, Delhi","Harish Chandra Sahu,Kadam sahi,Balasore",,,1,,,Oriya,Oriya,,,,,,,,,3,,,Incomplete,,,,,,,,,Purāṇa,,,28/11/2005,,,No,,,,,No,No,,,,,,,manus_dt: 300 years ago,,
Bhāgavata (skandha-2),IGI023222,"Indira Gandhi National Centre for the Arts, Delhi","Pravakar Panigrahi, Post Kuligan Khantapara",,,2,Jaganāthadāsa,,Oriya,Oriya,,,Not Available,Not Available,,,Not Available,Not Available,,7,,Incomplete,39,78,,20,2,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Purāṇa,,,11/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Bhāgavata (pañcamaskandha),IGI0231149,"Indira Gandhi National Centre for the Arts, Delhi","Rasmiranjan Mohanty, Bandhakata",,,49,Jagannāthadāsa,,Oriya,Oriya,,,Not Available,Not Available,,,Not Available,Not Available,,,,Complete,34,68,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Purāṇa,,,08/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Bhāgavata,IGI103277,"Indira Gandhi National Centre for the Arts, Delhi","Sudhanshu Panigrahi, Sukuapada",,,7,Jagannāthadāsa,,Oriya,Oriya,,,,,,,,,22,1,,,69,129,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Purāṇa,,,25/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
Avyaya,NSI00058246,"H.S.G. University, Sagar","Acharya Sankarshana Prapannacharya, Nayagauon",,,246,,,Sanskrit,Devanagari,,,,,,,,,26,26.84,,Incomplete,1,2,,28,11.5,,Plant Products -> Paper / कागज,,,,,08/05/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
