title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era
Rāsakrīḍā,NOI00419643,"OSM, Bhubaneswar",Gokulananda Routray,,,643,,,Oriya,Oriya,,,,,,,,,,595,,Incomplete,38,76,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Kāvya,,,14/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Bhāgavata(Daśamaskandha),NOI0095834,"OSM, Bhubaneswar",Sridhara Rout,,,34,Jagannāthadāsa,,Oriya,Oriya,,,,,,,,,9,,,Complete,172,343,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Purāṇa,,,08/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Tripurāsundarī,NOI2186757,"OSM, Bhubaneswar",Raghunatha Pati,,,57,,,Sanskrit,Oriya,,,,,,,,,6,,,Complete,35,69,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Tantra,,,22/12/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Rāsakrīḍā,NOO00136709,"OSM, Bhubaneswar",Dasarathi Pattanaik Library Trust,,,709,,,Oriya,Oriya,,,,,,,,,446,,,Complete,20,40,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Brittle",Kāvya,,,07/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Campūrāmāyaṇa,NOO00136707,"OSM, Bhubaneswar",Dasarathi Pattanaik Library Trust,,,707,,,Sanskrit,Oriya,,,,,,,,,730,,,Complete,99,197,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Kāvya,,,08/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Bhāgavata,NOI2188173,"OSM, Bhubaneswar",Surya Narayan Rathasarma,,,73,Jagannāthadāsa,,Oriya,Oriya,,,,,,,,,204,,,Complete,98,197,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Purāṇa,,,23/12/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Māghamāhātmya,NOO00136708,"OSM, Bhubaneswar",Dasarathi Pattanaik Library Trust,,,708,Mahādevadāsa,,Sanskrit,Oriya,,,,,,,,,176,,,Complete,94,188,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Māhātmya,,,01/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Ravimahādasā,NOI00419644,"OSM, Bhubaneswar",Gokulananda Routray,,,644,,,Sanskrit,Oriya,,,,,,,,,,489,,Complete,10,20,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Jyotiṣa,,,13/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Tantra,NOO00136710,"OSM, Bhubaneswar",Dasarathi Pattanaik Library Trust,,,710,,,Sanskrit,Oriya,,,,,,,,,139,,,Complete,62,129,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Brittle",Tantra,,,30/05/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Lagnaprakāra,NOI00419645,"OSM, Bhubaneswar",Gokulananda Routray,,,645,,,Sanskrit,Oriya,,,,,,,,,,488,,Complete,16,32,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Jyotiṣa,,,13/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
