title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era
Harivaṁśa (Dvitīyakhaṇḍa),NOI044713,"OSM, Bhubaneswar",Buddheswar Sahu,,,3,,,Oriya,Oriya,,,,,,,,,,48,,Complete,,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Itihāsa,,,14/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Rūdraveda,NOI170753,"OSM, Bhubaneswar",RamKrishna Tripathi,,,3,,,Sanskrit,Oriya,,,,,,,,,4B,2B,,Complete,,800,50,,,,Plant Products -> Palm leaf / ताड़ पत्र,,,,,14/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Baladevprāthanā,NOI115913,"OSM, Bhubaneswar",Gajendra Nayak,,,3,,,Oriya,Oriya,,,,,,,,,3,4,,Complete,80,160,,4,26,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Broken",Bhakti,,,16/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Mahālayāśrāddha,NOI136242,"OSM, Bhubaneswar",Purna Ch. Rout,,,2,,,Sanskrit,Oriya,,,,,,,,,5,,,Incomplete,32,63,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Brittle",Dharmaśāstra,,,14/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Guṇīgāreḍī,NOI0179434,"OSM, Bhubaneswar",Manguli Charan Mishra,,,34,,,Oriya,Oriya,,,,,,,,,17,,,Incomplete,47,93,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Tantra,,,30/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Vyākaraṇa,NOI184082,"OSM, Bhubaneswar",Bhabanishankar Dash,,,2,Govindadāsa,,Oriya,Oriya,,,,,,,,,1,,,Complete,,80,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",,,,14/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Harivaṁśa- Ṭīkā,NOI012909,"OSM, Bhubaneswar",Balaram Mohanta,,,9,Acyutānandadāsa,,Oriya,Oriya,,,,,,,,,33,33,,Complete,33,66,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Itihāsa/Tārīḵẖ,,,29/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Vratagīta,NOI0128983,"OSM, Bhubaneswar",Ashok Das,,,83,Balarāmadāsa,,Oriya,Oriya,,,,,,,,,14,14,,Complete,25,49,,17,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Saṅgīta/Mawsīqī,,,29/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Śrīśītalāstotra,NOI00429666,"OSM, Bhubaneswar",Baikuntha Nath Pati,,,666,,,Sanskrit,Oriya,,,,,,,,,,,,Incomplete,3,6,,28,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Stotra/Manqabat,,,29/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Jaiminībhārata,NOO0014545,"OSM, Bhubaneswar",Sadasiva Kendriya Sanskrit Vidyapeeth,,,45,Vipranīlāmbaradāsa,,Oriya,Oriya,,,,,,,,,390,,,Complete,207,413,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Itihāsa,,,30/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
