title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era
Rasarahasya,NUO02045406,Uttar Pradesh Survey,Dr. B.R. Ambedkar Visvavidhyalaya (MPC),,,406,Kulapatimiśra,Haranārāyaṇamiśr,Brajabhasha,,,,,,,,,,617,1,,Complete,111,111,,17.5,27,,Plant Products -> Paper / कागज,Bad,Kāvya,,,14/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1908,
Dānalīlāguṭka,NUO02045407,Uttar Pradesh Survey,Dr. B.R. Ambedkar Visvavidhyalaya (MPC),,,407,Śrīmotirāmjimahārāja,,Rajasthani,Devanagari,,,Hindi,,,,,,222,1,,Complete,1314,1314,,9.5,7,,Plant Products -> Paper / कागज,"Bad, Brittle",Dharmaśāstra,,,09/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1936,
Anantanirṇaya,NUO0206264,Uttar Pradesh Survey,"Sampurnanand Sanskrit University, Sarasvati  Bhavan Pustakalaya",,,64,,,Sanskrit,Devanagari,,,,,,,,,,68965,,Incomplete,12,,,5.3,3.1,,Plant Products -> Paper / कागज,,Dharmaśāstra,,,10/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,
Vedāntaratnamālā,NUO02063345,Uttar Pradesh Survey,Nagari Pracarini Sabha,,,345,,,Sanskrit,Devanagari,,,,,,,,,9030,9030.1,,Incomplete,33,33,,34.6,12.2,,Plant Products -> Paper / कागज,,,,,14/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,
Śiśupālavadha,NUO0206265,Uttar Pradesh Survey,"Sampurnanand Sanskrit University, Sarasvati  Bhavan Pustakalaya",,,65,Māgha,,Sanskrit,Devanagari,Bhāgīrathī,Bhagīratha,,,,,,,,41454,,Incomplete,4-16,,,10.5,6.1,,Plant Products -> Paper / कागज,,Kāvya,,,10/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,
क्षेत्रपालॆत्यादिपूजाविधि,ROI00055193,"Rajasthan Oriental Research Institute, Jodhpur",54 श्री पार्श्वनाथ दिगम्बर जैन मंदिर,,,193,,,Sanskrit,Devanagari,,,,,,,,,,57/3,,Complete,7,,,,,,Plant Products -> Paper / कागज,,,,,11/08/2004,,,No,,,,,No,No,,,,,,,manus_dt: 19वि.स.,
दानलीला,ROI00018176,"Rajasthan Oriental Research Institute, Jodhpur",18 स्व. लक्ष्मीनन्द शर्मा,,,176,,,Hindi,Devanagari,,,,,,,,,,148,,Incomplete,8,,,,,,Plant Products -> Paper / कागज,,Bhakti,,,01/07/2004,,,No,,,,,No,No,,,,,,,manus_dt: 19वि.स.,
सुपध्छत्तीसी,ROI000052106,"Rajasthan Oriental Research Institute, Jodhpur",05 राजस्थान प्राच्य विद्या प्रतिष्ठान,,,2106,"आसियाँ, बांकीदास",,Hindi,Devanagari,,,,,,,,,,38946/4,,Complete,7,,,,,,Plant Products -> Paper / कागज,,Kāvya,,,05/06/2004,,,No,,,,,No,No,,,,,,,manus_dt:,
Rāmacaritamānasa (Kiṣkindakāṇḍa),NUO02045398,Uttar Pradesh Survey,Dr. B.R. Ambedkar Visvavidhyalaya (MPC),,,398,Tulasīdāsa,Brāhamaṇagāyatrī,Avadhi,Devanagari,,,,,,,,,558,1,,Complete,21,21,,24,12,,Plant Products -> Paper / कागज,,Dharmaśāstra,,,10/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1825,
Amarakośabhāga,NUO02045408,Uttar Pradesh Survey,Dr. B.R. Ambedkar Visvavidhyalaya (MPC),,,408,,Lālacaturbhujāgarvāla,Brajabhasha,Devanagari,,,,,,,,,610,1,,Incomplete,36,36,,15,15,,Plant Products -> Paper / कागज,,Kośa,,,10/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1909,
Vākvijñāna,NBI0309614,Dev kumar Jain Oreintal Research Institute (Survey),Vedanand Jha,,,14,,,Sanskrit,Devanagari,,,,,,,,,,,,Incomplete,,60,,10,2,,Plant Products -> Paper / कागज,Bad,,,,24/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Apatnīkādhānanirṇaya,NUO0206266,Uttar Pradesh Survey,"Sampurnanand Sanskrit University, Sarasvati  Bhavan Pustakalaya",,,66,,,Sanskrit,Devanagari,,,,,,,,,,69208,,Complete,3,,,10,4.1,,Plant Products -> Paper / कागज,,Dharmaśāstra,,,11/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,
Vedāntasāraṭīkā,NUO02045409,Uttar Pradesh Survey,Dr. B.R. Ambedkar Visvavidhyalaya (MPC),,,409,,Gaṇeśadatta,Sanskrit,Devanagari,,Nṛsiṁhasarasvatī,,,,,,,591,,,Incomplete,41,30,,22.5,10.5,,Plant Products -> Paper / कागज,,Darśana,,,10/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1839,
Dīṣadānavidhi,NUO0206421,Uttar Pradesh Survey,Bundelkhand Sangrahalaya Samiti,,,21,,,Sanskrit,Devanagari,,,,,,,,,,99,,Complete,3,6,,23.9,10.9,,Plant Products -> Paper / कागज,,Dharmaśāstra,,,14/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,
Ṛgvedasaṁhitā,NUO0206267,Uttar Pradesh Survey,"Sampurnanand Sanskrit University, Sarasvati  Bhavan Pustakalaya",,,67,,,Sanskrit,Devanagari,,,,,,,,,,31,,Complete,77,,,9,4,,Plant Products -> Paper / कागज,,,,,11/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,
Āpadudvārakavaca,NUO02063346,Uttar Pradesh Survey,Nagari Pracarini Sabha,,,346,,,Sanskrit,Devanagari,,,,,,,,,,2965/4,,Incomplete,10,,,15.5,9.5,,Plant Products -> Paper / कागज,,Tantra,,,11/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: Prācīna,
Svapnādhyāya,NUO02045411,Uttar Pradesh Survey,Dr. B.R. Ambedkar Visvavidhyalaya (MPC),,,411,,Rāmasahaya,Sanskrit,Devanagari,,,,,,,,,535,,,Complete,7,7,,30,11,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Jyotiṣa,,,10/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1918,
Ṛgvedasṁhitā,NUO0206268,Uttar Pradesh Survey,"Sampurnanand Sanskrit University, Sarasvati  Bhavan Pustakalaya",,,68,,,Sanskrit,Devanagari,,,,,,,,,,24,,Incomplete,1-88,,,9,3.8,,Plant Products -> Paper / कागज,,,,,10/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,
Śivatāndavavedavīśvarasaṁvāda,NUO0206422,Uttar Pradesh Survey,Bundelkhand Sangrahalaya Samiti,,,22,,,Sanskrit,Devanagari,,,,,,,,,,72,,Complete,2,4,,,,,Plant Products -> Paper / कागज,,Tantra,,,14/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,
Kāvyaprakāśaṭīkā,NUO0206269,Uttar Pradesh Survey,"Sampurnanand Sanskrit University, Sarasvati  Bhavan Pustakalaya",,,69,Mammaṭa,,-,-,,Govinda,,,,,,,,106852,,Incomplete,"184,93",,,8.4,1.2,,Plant Products -> Paper / कागज,,Kāvya,,,11/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,
Gītagovinda,NUO02063347,Uttar Pradesh Survey,Nagari Pracarini Sabha,,,347,Jayadeva,,Sanskrit,Devanagari,,,,,,,,,3206,3206.1,,Incomplete,45,,,16.5,11,,Plant Products -> Paper / कागज,,Kāvya,,,17/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,
Lagnacandrikā,NUO02045410,Uttar Pradesh Survey,Dr. B.R. Ambedkar Visvavidhyalaya (MPC),,,410,,,Sanskrit,Devanagari,,,,,,,,,710,1,,Incomplete,48,48,,21.5,14.5,,Plant Products -> Paper / कागज,Bad,Jyotiṣa,,,14/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1923,
