title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era
Caitanyacandraudayanāṭaka,NOI0255479,"OSM, Bhubaneswar",Pandit Surya Narayan Rathasarma,,,79,,,Bengali,Oriya,,,,,,,,,114,,,Complete,147,293,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Kāvya,,,21/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Rūdrapūjā,NOI0368638,"OSM, Bhubaneswar",Jagannath Sarangi,,,38,,,Sanskrit,Oriya,,,,,,,,,1,1.1,,Complete,58,115,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Dharmaśāstra,,,06/10/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Bhāgavata,NOI0251083,"OSM, Bhubaneswar",Bidyadhar Sahoo,,,83,Jagannāthadāsa,,Oriya,Oriya,,,,,,,,,,,,Incomplete,25,50,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Purāṇa,,,20/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Rāmarasāmṛtasindhū (ādikhanḍa),NOI004191330,"OSM, Bhubaneswar",Gokulananda Routray,,,1330,Kānhudāsa,,Oriya,Oriya,,,,,,,,,,947,,Complete,60,120,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Kāvya,,,20/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Dehakilā,NOI02312469,"OSM, Bhubaneswar",Raghu Nandi,,,469,,,Sanskrit,Oriya,,,,,,,,,,,,Complete,4,8,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Tantra,,,04/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Khaḍāṅgabhāgavataa- Prathama evam dvitīyaskandha,NOO00246346,"OSM, Bhubaneswar",Bada Oriya Matha,,,346,Jagannāthadāsa,Natabanamahapatra,Oriya,Oriya,,,,,,,,,73,,,Complete,172,343,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Purāṇa,,,21/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Māghadadhi,NOO00246345,"OSM, Bhubaneswar",Bada Oriya Matha,,,345,,,Sanskrit,Oriya,,,,,,,,,157,,,,114,227,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Purāṇa,,,22/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Bhāgavata(Navamaskandha),NOI0364480,"OSM, Bhubaneswar",Chakradhara Sahu,,,80,Jagannāthadāsa,,Oriya,Oriya,,,,,,,,,19,,,Complete,68,136,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Purāṇa,,,04/10/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Bhāgavata (Ekādaśaskandha),NOO001361385,"OSM, Bhubaneswar",Dasarathi Pattanaik Library Trust,,,1385,Jagannāthadāsa,,Oriya,Oriya,,,,,,,,,,,,Complete,108,216,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Purāṇa,,,20/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Gaṇeśavrata,NOI0366822,"OSM, Bhubaneswar",Digambar Tripathy,,,22,Lambodarasatpathya,,Sanskrit,Oriya,,,,,,,,,,9,,Complete,34,68,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Dharmaśāstra,,,04/10/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Harivaṁśa(Pañcamalaharī),NOI02413166,"OSM, Bhubaneswar",Narayan Mohapatra,,,166,,,Oriya,Oriya,,,,,,,,,85,,,Complete,171,341,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Purāṇa,,,21/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Śrībhāgavata,NOI0261350,"OSM, Bhubaneswar",Bimbadhar Mohapatra,,,50,Jagannāthadāsa,,Oriya,Oriya,,,,,,,,,117,1,,Complete,237,472,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Purāṇa,,,25/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Sadānandapālā,NOI0367189,"OSM, Bhubaneswar",Bijay Kumar Dey,,,89,,,Oriya,Oriya,,,,,,,,,,64,,Complete,28,56,,12,1 1/2,,Plant Products -> Palm leaf / ताड़ पत्र,,,,,05/10/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Sidhārathacandṛikāpūrvārdha,NOO001332720,"OSM, Bhubaneswar",Orissa State Museum,,,2720,Rāmacandratirtha,,Sanskrit,Oriya,,,,,,,,,Gr/111,gr/111,,Complete,151,302,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,,,,20/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Tapoikathā,NOI0172472,"OSM, Bhubaneswar",Nabaghana Dash,,,72,,,Oriya,Oriya,,,,,,,,,27,,,Complete,26,51,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Kathā,,,05/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Bhāgavata- Prathamaskandha,NOO00246347,"OSM, Bhubaneswar",Bada Oriya Matha,,,347,Jagannāthadāsa,,Sanskrit,Oriya,,,,,,,,,366,,,Complete,131,261,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Purāṇa,,,22/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Cāṇakyanīti,NOI0354534,"OSM, Bhubaneswar",Prahalad Pradhan,,,34,Acyutasāhoo,,Oriya,Oriya,,,,,,,,,,,,Complete,80,159,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Nītiśāstra,,,21/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
