title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era
Rāmāyaṇa (Laṅkākāṇḍa),NOI157045,"OSM, Bhubaneswar",Dhulia Bes,,,5,Vālmīki,,Sanskrit,Oriya,,,,,,,,,6,,,Complete,68,136,,4,18,,Plant Products -> Palm leaf / ताड़ पत्र,,Itihāsa,,,23/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Vivāha,NOI0226826,"OSM, Bhubaneswar",Rabinarayan Dash,,,26,V.C Dāsa,,Sanskrit,Oriya,,,,,,,,,76,,,Complete,119,237,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Vivāha,,,07/07/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Harivaṁśa,NOO012995,"OSM, Bhubaneswar",Bajrapata Bhagavata Ghara,,,5,,,Oriya,Oriya,,,,,,,,,14,2,,Complete,1500,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Purāṇa,Itihāsa/Tārīḵẖ,,23/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Candracautiśā,NOO002994802,"OSM, Bhubaneswar",Parija Utkal University,,,4802,,,Oriya,Oriya,,,,,,,,,260/9,260/9,,Complete,3,6,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Kāvya,,,02/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Vādyatāla,NOI1222227,"OSM, Bhubaneswar",Niranjan Sahoo,,,27,,,Oriya,Oriya,,,,,,,,,1,,,Complete,50,25,,20.5,3,1.5,Plant Products -> Palm leaf / ताड़ पत्र,,,,,23/11/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1968,
Mahābhārata (Ṣoḍaśaparva),NOI166593,"OSM, Bhubaneswar",Chaturbhuja Seth,,,3,Sāralādāśa,,Sanskrit,Oriya,,,,,,,,,1,1,,Complete,280,560,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Itihāsa,,,23/11/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1888,
Visajalavākyāna,NOO001332648,"OSM, Bhubaneswar",Orissa State Museum,,,2648,,,Oriya,Oriya,,,,,,,,,Ol/519,Ol/519,,Complete,117,234,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Kāvya,,,21/06/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Harivaṁśa (Śrīkṛṣṇajanma),NOO011563,"OSM, Bhubaneswar","Siva Mandir, Ulba",,,3,Pitambaradāsa,,Oriya,Oriya,Candramanimahāpatra,Damanmeher,,,,,,,4,4,,Complete,320,640,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Purāṇa,,,23/11/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1945,
Basaṅtarāsa,NOO002994801,"OSM, Bhubaneswar",Parija Utkal University,,,4801,Śrīcaṅdana,,Oriya,Oriya,,,,,,,,,2508,2508,,Complete,76,151,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Kāvya,,,02/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Sadānandasaudāgarapālā,NOO002994803,"OSM, Bhubaneswar",Parija Utkal University,,,4803,Kavikarṇa,,Oriya,Oriya,,,,,,,,,1864,1864,,Complete,43,83,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Kāvya,,,02/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
