title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era
Dīwān-i Maghribī,RRI00001128,"Rampur Raza Library, Rampur","Aligarh,Muzammil Library",دیوان مغربی,,128,Shams al-Dīn M. Shīrīn Maghribī Tabrīzī,Abdullah,Persian,Nastaliq,,,,,,,,,,209,,Complete,118,,,20,12,,Plant Products -> Paper / कागज,,Dīwān,,,04/10/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1284 A.H.,
Ḥāshiyah ‘alā Sharḥil-‘Aqāid,RRO000051254,"Rampur Raza Library, Rampur","Lucknow,Nadwatul Ulema",حاشیہ علی  شرح العقاید العضدیہ,,1254,Mullā Kamālud-Dīn Sahalwī,,Arabic,Nastaliq,,,,,,,,,Kalam,808,,Complete,29,,,24,16,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Kalām,,,21/02/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Ḥāshiyah ‘alā Ḥāshiyah,RRO000051253,"Rampur Raza Library, Rampur","Lucknow,Nadwatul Ulema",حاشیہ علی حاشیہ شرح المواقف,,1253,Mullā Moḥd. Ḥasan Sahalwī,,Arabic,Naskh,,,,,,,,,Kalam,803,,Incomplete,69,,,19,15.7,,Plant Products -> Paper / कागज,,Kalām,,,21/02/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Risālah Taṣawwuf,RRI00001129,"Rampur Raza Library, Rampur","Aligarh,Muzammil Library",رسالہ تصوف,,129,,,Persian,Nastaliq,,,,,,,,,,496,,Complete,31,,,20,11,,Plant Products -> Paper / कागज,Bad,Taṣawwuf,,,04/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,
Iḵhtiṣār-i-Shāh Nāmah,RRO000013245,"Rampur Raza Library, Rampur","Aligarh,Maulana Azad Library",,,3245,Tawakkul Beg Munshī Dārā Shikōh,,Persian,Nastaliq,,,,,,,,,Akhbar,University/4/262,,Complete,89,,,8.8,5,,Plant Products -> Paper / कागज,,Itihāsa,,,31/01/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Sharḥ-i Sullam,RRO0000286,"Rampur Raza Library, Rampur",Darul Musannafin Shibli Academy,شرح سلم,,86,Aḥmad ‘Alī Sandelwī,,Arabic,Naskh,,,,,,,,,Mantiq,160/39,,Complete,90,,,10,7,,Plant Products -> Paper / कागज,,Darśana,,,23/09/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1230 A.H.,
Raudhatul-Aḥbāb,RRO000013243,"Rampur Raza Library, Rampur","Aligarh,Maulana Azad Library",,,3243,"‘Aṭā,ullāh Jamāl Ḥusainī",,Persian,Nastaliq,,,,,,,,,Akhbar,University/4/272,,Complete,,,,9.5,5.6,,Plant Products -> Paper / कागज,,Itihāsa,,,31/01/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Bahārul-Afazah,RRO000013244,"Rampur Raza Library, Rampur","Aligarh,Maulana Azad Library",,,3244,Nil,,Persian,Nastaliq,,,,,,,,,Akhbar,University/4/243,,Complete,208,,,8.2,5,,Plant Products -> Paper / कागज,,Itihāsa,,,31/01/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Muntaḵẖab al-Naḥw,RRO0000287,"Rampur Raza Library, Rampur",Darul Musannafin Shibli Academy,منتخب النحو,,87,Amir Ḥaidar Bilgirāmī ?,,Persian,Nastaliq,,,,,,,,,Sarf wa Nahu,415/24,,Complete,28,,,9,5,,Plant Products -> Paper / कागज,,,,,23/09/2004,,,No,,,,,No,No,,,,,,,manus_dt:,
Dastūr al-‘Amal,RRI00001130,"Rampur Raza Library, Rampur","Aligarh,Muzammil Library",دستور العمل,,130,Bekas Hamswani,,Persian,Shikasta,,,,,,,,,,626,,Complete,10,,,22,12,,Plant Products -> Paper / कागज,,Islamic Studies,,,04/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,
Dīwān-i Ḥāfiẓ,RRI00001134,"Rampur Raza Library, Rampur","Aligarh,Muzammil Library",دیوان حافظ,,134,Ḵẖwājah Shams al-Dīn M. Ḥāfiẓ,Har Charan Rā’i,Persian,Nastaliq,,,,,,,,,,122,,Complete,213,,,15,11,,Plant Products -> Paper / कागज,,Dīwān,,,04/10/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1204 A.H.,
Al-Ḥiṣn al-Ḥaṣīn,RRI00001135,"Rampur Raza Library, Rampur","Aligarh,Muzammil Library",الحصن الحصین,,135,Muḥammad ibn Muḥammad al-Jazrī al-Shāfa‘ī,,Arabic,Naskh,,,,,,,,,,117,,Complete,162,,,17,10,,Plant Products -> Paper / कागज,,Dharmaśāstra,,,30/09/2004,,,No,,,,,No,No,,,,,,,manus_dt:,
Risālah dar Uṣūl-i A‘dād wa Jaml,RRO0000288,"Rampur Raza Library, Rampur",Darul Musannafin Shibli Academy,رساله در اصول اعداد و جمل,,88,,,Persian,Nastaliq,,,,,,,,,Riyaziyat,510/15,,Complete,24,,,7,5,,Plant Products -> Paper / कागज,Bad,Jyotiṣa,,,23/09/2004,,,No,,,,,No,No,,,,,,,manus_dt:,
Risālah ‘Ilm al-Shakal,RRI00001132,"Rampur Raza Library, Rampur","Aligarh,Muzammil Library",رسالہ علم الشکل,,132,,,Persian,Shikasta,,,,,,,,,,153,,Complete,25,,,20,12,,Plant Products -> Paper / कागज,,Islamic Studies,,,04/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,
Gulistān,RRI00001131,"Rampur Raza Library, Rampur","Aligarh,Muzammil Library",گلستان,,131,Shaiḵẖ Muṣliḥ al-Dīn Sa‘dī Shīrāzī,,Persian,Shikasta,,,,,,,,,,174,,Complete,60,,,28,16,,Plant Products -> Paper / कागज,,Kāvya,,,04/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,
Zād al-Ma‘ād,RRI00001133,"Rampur Raza Library, Rampur","Aligarh,Muzammil Library",زاد المعاد,,133,Muḥammad Bāqar Majlisī,M. Ḥusain ibn M. Taqī,Persian,Naskh,,,,,,,,,,135,,Complete,289,,,13,22,,Plant Products -> Paper / कागज,,Islamic Studies,,,04/10/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1174 A.H.,
Dīwān-i Ghanī,RRI00001136,"Rampur Raza Library, Rampur","Aligarh,Muzammil Library",دیوان غنی,,136,Muḥammad Ṭāhir Ghanī Kashmīrī,Sayyid Murād ‘Alī,Persian,Shikasta,,,,,,,,,,77,,Complete,56,,,22,15,,Plant Products -> Paper / कागज,,Dīwān,,,04/10/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1263 A.H.,
Ruqa‘h,RRI00001137,"Rampur Raza Library, Rampur","Aligarh,Muzammil Library",رقعہ,,137,Chandar Bhān Brahman,,Persian,Shikasta,,,,,,,,,,546,,Complete,1,,,25,14,,Plant Products -> Paper / कागज,,,,,04/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,
Qirānus-Sa‘ dain,RRO00007170,"Rampur Raza Library, Rampur","Luchnow,U.P.State Archive",قران السعدین,,170,Amīr Ḵhusrū,,Persian,Nastaliq,,,,,,,,,Sufism(Poetry&Lit.,13125,,Complete,49,,,24.5,17,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Diwan,,,28/12/2004,,,No,,,,,No,No,,,,,,,manus_dt:,
Al-Ḥiṣn wa al-Ḥaṣīn,RRO0001473,"Rampur Raza Library, Rampur",Allahabad Museum,الحصن و الحصین,,73,Unknown,,Arabic,Naskh,,,,,,,,,Aurad,95,,Complete,80,,,,,,Plant Products -> Paper / कागज,,Aurād wa Ad‘ iyah,,,12/12/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Mishkāt Maṣābīḥ,RRO000157,"Rampur Raza Library, Rampur","Rampur,Madrasa Furqania",مشکواة مصابیح,,7,Walī al-Dīn Tabrezī,,Arabic,Naskh,,,,,,,,,Hadith,52,,Incomplete,438,,,29,16.5,,Plant Products -> Paper / कागज,,Darśana,,,01/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Ḥamāil Sharīf,RRO000013246,"Rampur Raza Library, Rampur","Aligarh,Maulana Azad Library",حمائل شریف,,3246,Nil,,Arabic,Naskh,,,,,,,,,Quran,Subhanallah/297,,Complete,,,,,,,Plant Products -> Paper / कागज,,Hādith,,,28/03/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1092 ah,
