title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era
Naiṣadhaṭīkā,NBO00213897,Dev kumar Jain Oreintal Research Institute (Survey),Sri Dev Kumar Jain Oriental Research Instiute,,,897,Śrīnārāyaṇapanḍita,,Sanskrit,Devanagari,,,,,,,,,d9,103/53,,Incomplete,1,,,25.11,11,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Kāvya,,,16/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
पद संग्रह,JAO003126,"Satshrut Prabhavana Trust, Bhavnagar","श्री चन्द्रप्रभु दि. जैन मंदिर, पुरानी डीग",,,6,प्राप्त नहीं हुआ,,Hindi,Devanagari,,,,,,,,,,,,Incomplete,45,,,16,14,,Plant Products -> Paper / कागज,,Dharmaśāstra,,,13/07/2004,,,No,,,,,No,No,,,,,,,manus_dt:,
Devīsūkta,NBO003021687,Dev kumar Jain Oreintal Research Institute (Survey),Dev Kumar Jain Oriental Library,,,1687,,,Sanskrit,Devanagari,,,,,,,,,Da,72/31,,Incomplete,2,,first page,15,9.7,,Plant Products -> Paper / कागज,"Bad, Brittle",,,,16/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Navārāvividhī,NBO003021689,Dev kumar Jain Oreintal Research Institute (Survey),Dev Kumar Jain Oriental Library,,,1689,,,Sanskrit,Devanagari,,,,,,,,,D,79/30,,Incomplete,2,,,12.7,8,,Plant Products -> Paper / कागज,"Bad, Brittle",Dharmaśāstra,,,16/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Bhūtaśuddhī,NBO00213898,Dev kumar Jain Oreintal Research Institute (Survey),Sri Dev Kumar Jain Oriental Research Instiute,,,898,,,Sanskrit,Devanagari,,,,,,,,,Da,89/58,,Incomplete,5,,,15.8,6.3,,Plant Products -> Paper / कागज,"Bad, Brittle",Dharmaśāstra,,,12/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Nāmamālā,NBO003021686,Dev kumar Jain Oreintal Research Institute (Survey),Dev Kumar Jain Oriental Library,,,1686,,,Sanskrit,Devanagari,,,,,,,,,DA,62/3,,Incomplete,40,,,21.7,11.2,,Plant Products -> Paper / कागज,,Kośa,,,12/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Durgahanumatkavaca,NBO00213899,Dev kumar Jain Oreintal Research Institute (Survey),Sri Dev Kumar Jain Oriental Research Instiute,,,899,,,Sanskrit,Devanagari,,,,,,,,,Da,41/39,,Incomplete,30,,"1-109, 136-165 and last page",14.3,11.3,,Plant Products -> Paper / कागज,"Bad, Brittle",Stotra,,,11/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Sarasvatīstuti,NBO003021688,Dev kumar Jain Oreintal Research Institute (Survey),Dev Kumar Jain Oriental Library,,,1688,,,Sanskrit,Devanagari,,,,,,,,,D,78/20,,Incomplete,1,,,12.4,8,,Plant Products -> Paper / कागज,"Bad, Brittle",Stotra,,,16/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Dakṣiṇakālikākavaca,NBO003021690,Dev kumar Jain Oreintal Research Institute (Survey),Dev Kumar Jain Oriental Library,,,1690,,,Sanskrit,Devanagari,,,,,,,,,Da,72/7,,Incomplete,6,,last page,13.5,10.5,,Plant Products -> Paper / कागज,"Bad, Brittle",Stotra,,,16/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Vyākaraṇadarśanapīṭhikā,NBI0311210,Dev kumar Jain Oreintal Research Institute (Survey),Deena Nath Choudhary,,,10,Rāmājñāpāṇdya,,Sanskrit,Kaithi,,,,,,,,,,,,Complete,,,,,,,Plant Products -> Paper / कागज,,,,,24/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Vinārasī vilāṣā krama sūcikā,NBO00213900,Dev kumar Jain Oreintal Research Institute (Survey),Sri Dev Kumar Jain Oriental Research Instiute,,,900,,,Prakrit,Devanagari,,,Hindi,,,,,,D9,104/8,,Complete,2,,,24.6,12.4,,Plant Products -> Paper / कागज,Bad,Jaina,,,16/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Daśādivicāra,NBO003021691,Dev kumar Jain Oreintal Research Institute (Survey),Dev Kumar Jain Oriental Library,,,1691,,,Sanskrit,Devanagari,,,,,,,,,Da,72/3,,Incomplete,9,,first and last page,15.2,11.5,,Plant Products -> Paper / कागज,"Bad, Brittle",Jyotiṣa,,,16/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Sarvadarśanavivecnāvalī,NBI031273,Dev kumar Jain Oreintal Research Institute (Survey),Pt. Mahavir Jha,,,3,,Pt. Mahāvīrajhā,Hindi,Devanagari,,,,,,,,,,,,Complete,,43,,7,9,,Plant Products -> Paper / कागज,,Darśana,,,24/08/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1943,
