title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era,filename
Kārtavīryavidhi,SVO000074479,Sampurnanand Sanskrit University (Sarasvati Bhavan),Nagari Pracarini Sabha,,,4479,Śivānandabhaṭṭagosvāmī,,Sanskrit,Devanagari,,,,,,,,,,4456,,Complete,27,,,27.5,11.5,,Plant Products -> Paper / कागज,,Tantra/Ṯilism,,,02/01/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
Ratnasārasaṅgraha,SVO000074484,Sampurnanand Sanskrit University (Sarasvati Bhavan),Nagari Pracarini Sabha,,,4484,Muñjāditya,,Sanskrit,Devanagari,,,,,,,,,,5194,,Incomplete,36,,,20,7.5,,Plant Products -> Paper / कागज,,Jyotiṣa,,,02/01/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
Śukajātaka,SVO000074482,Sampurnanand Sanskrit University (Sarasvati Bhavan),Nagari Pracarini Sabha,,,4482,,,Sanskrit,Devanagari,,,,,,,,,,4589,,Incomplete,6,,,34,16.1,,Plant Products -> Paper / कागज,,Jyotiṣa,,,13/01/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
Ṣaṭpañcāśikā,SVO000132733,Sampurnanand Sanskrit University (Sarasvati Bhavan),Bhrigu Karyalaya,,,2733,,,Sanskrit,Tirhuta/Mithilakshar‎,,,,,,,,,1,1,,Complete,2,,,10,3.5,,Plant Products -> Paper / कागज,,Jyotiṣa,,,14/12/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
Kanakakalpa,SVO000074483,Sampurnanand Sanskrit University (Sarasvati Bhavan),Nagari Pracarini Sabha,,,4483,,,Hindi,Devanagari,,,,,,,,,2573,2573.1,,Complete,3,,,12.5,13,,Plant Products -> Paper / कागज,,,,,26/12/2006,,,No,,,,,No,No,,,,,,,manus_dt:,,
Laghuparāśarī,SVO000132732,Sampurnanand Sanskrit University (Sarasvati Bhavan),Bhrigu Karyalaya,,,2732,,,Sanskrit,Devanagari,,,,,,,,,,546,,Incomplete,3,,,24.2,10.7,,Plant Products -> Paper / कागज,,Jyotiṣa,,,12/12/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
Bihārīśatasai,SVO000074481,Sampurnanand Sanskrit University (Sarasvati Bhavan),Nagari Pracarini Sabha,,,4481,Bihārī,,Hindi,Devanagari,,,,,,,,,,982,,Complete,59,,,21.5,17.2,,Plant Products -> Paper / कागज,,,,,13/08/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
Natro ?paniṣad,SVO000074480,Sampurnanand Sanskrit University (Sarasvati Bhavan),Nagari Pracarini Sabha,,,4480,,,Sanskrit,Devanagari,,,,,,,,,8172,8172-1,,Complete,1,2,,38,14,,Plant Products -> Paper / कागज,,Veda,,,03/01/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
Svarodaya,SVO000132734,Sampurnanand Sanskrit University (Sarasvati Bhavan),Bhrigu Karyalaya,,,2734,,,Sanskrit,Devanagari,,,,,,,,,1-1,1,,Complete,1-9,,,9.8,3.6,,Plant Products -> Paper / कागज,,Jyotiṣa,,,14/12/2007,,,No,,,,,No,No,,,,,,,manus_dt: Saṁ 1834,,
Ārya,SVO00010696,Sampurnanand Sanskrit University (Sarasvati Bhavan),"Bharat Kala Bhavan, B. H.U",,,696,Mahāsamudgala-Bhaṭṭācārya,,Sanskrit,Devanagari,,,,,,,,,,3922,,Complete,1,,,20,15,,Plant Products -> Paper / कागज,Bad,Stotra/Manqabat,,,01/01/2000,,,No,,,,,No,No,,,,,,,manus_dt:,,
Kaumudīṭīkā,SVO000132735,Sampurnanand Sanskrit University (Sarasvati Bhavan),Bhrigu Karyalaya,,,2735,Śaṅkara,,Sanskrit,Devanagari,,,,,,,,,1,1.1,,Incomplete,140,280,,35,13,,Plant Products -> Paper / कागज,,Darśana / Manṯiq wa Falsafah,,,14/03/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
Ahamasiraphalatālikā,SVI000111000,Sampurnanand Sanskrit University (Sarasvati Bhavan),Dr. Bhagwaan Das Kendriya Pustakalaya,,,1000,,,Sanskrit,Devanagari,,,,,,,,,,46,,Incomplete,40,80,,26,6,,Plant Products -> Paper / कागज,,Jyotiṣa,,,12/01/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
Gopīpremāmṛta,SVI000111001,Sampurnanand Sanskrit University (Sarasvati Bhavan),Dr. Bhagwaan Das Kendriya Pustakalaya,,,1001,,,Sanskrit,Devanagari,,,,,,,,,,27.10,,Complete,1,2,,26.5,8,,Plant Products -> Paper / कागज,,Purāṇa,,,16/03/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
Praśnabhairava,SVO000132736,Sampurnanand Sanskrit University (Sarasvati Bhavan),Bhrigu Karyalaya,,,2736,,,Sanskrit,Devanagari,,,,,,,,,1-1,1,,Complete,1-12,,,9.5,4.2,,Plant Products -> Paper / कागज,,Jyotiṣa,,,14/12/2007,,,No,,,,,No,No,,,,,,,manus_dt: Saṁ 1864,,
Dvādaśarāśistaratna,SVO000132737,Sampurnanand Sanskrit University (Sarasvati Bhavan),Bhrigu Karyalaya,,,2737,,,Sanskrit,Devanagari,,,,,,,,,,1.1,,Complete,54,,,26.9,54,,Plant Products -> Paper / कागज,,Jyotiṣa,,,13/12/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
Mantra,SVO000074485,Sampurnanand Sanskrit University (Sarasvati Bhavan),Nagari Pracarini Sabha,,,4485,,,Hindi,Devanagari,,,,,,,,,3204,3204.3211,,Complete,5,,,21,17,,Plant Products -> Paper / कागज,,Mantra,,,01/01/2000,,,No,,,,,No,No,,,,,,,manus_dt:,,
Śrīdurgākavaca,SVO000132738,Sampurnanand Sanskrit University (Sarasvati Bhavan),Bhrigu Karyalaya,,,2738,,,Sanskrit,Devanagari,,,,,,,,,,321,,Incomplete,2,,,10.7,4.9,,Plant Products -> Paper / कागज,,Tantra/Ṯilism,,,01/01/2000,,,No,,,,,No,No,,,,,,,manus_dt:,,
Rāmāyaṇa - Āyodhyākāṇḍa,SVO00008387,Sampurnanand Sanskrit University (Sarasvati Bhavan),Bundelkhand Sangrahalaya Samiti,,,387,,,Sanskrit,Devanagari,,,,,,,,,,,,Incomplete,11,,,17.9,10.9,,Plant Products -> Paper / कागज,,Itihāsa/Tārīḵẖ,,,10/01/2007,,,No,,,,,No,No,,,,,,,manus_dt: Prācīna,,
Bhāsvatī - Saṭīka,SVO000132739,Sampurnanand Sanskrit University (Sarasvati Bhavan),Bhrigu Karyalaya,,,2739,Śatānanda,,Sanskrit,Devanagari,,,,,,,,,1,1,,Complete,74,,,9.4,4.2,,Plant Products -> Paper / कागज,,Jyotiṣa,,,14/12/2007,,,No,,,,,No,No,,,,,,,manus_dt: 1884 Saṁvat,,
Gāyatrīśāpavimocana,SVO000074486,Sampurnanand Sanskrit University (Sarasvati Bhavan),Nagari Pracarini Sabha,,,4486,,,Sanskrit,Devanagari,,,,,,,,,,2250,,Complete,8,,,9.7,8.3,,Plant Products -> Paper / कागज,,Tantra/Ṯilism,,,02/01/2007,,,No,,,,,No,No,,,,,,,manus_dt: 1955,,
Bṛhadāraṇyakopaniṣad,SVO000074487,Sampurnanand Sanskrit University (Sarasvati Bhavan),Nagari Pracarini Sabha,,,4487,,,Sanskrit,Devanagari,,,,,,,,,9250-2,9250-1/2,,Complete,83,166,,a13.5,9.5,,Plant Products -> Paper / कागज,,Veda,,,03/01/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
Vibhinnadevatāpūjāvidhi,SVI000111002,Sampurnanand Sanskrit University (Sarasvati Bhavan),Dr. Bhagwaan Das Kendriya Pustakalaya,,,1002,,,Sanskrit,Devanagari,,,,,,,,,,286.5,,Incomplete,6,12,,19,7,,Plant Products -> Paper / कागज,,Dharmaśāstra / Darsiyāt-i Islāmiyah,,,16/03/2007,,,No,,,,,No,No,,,,,,,manus_dt:,,
