title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era
Kṛṣnacaritra,NBI009881,Dev kumar Jain Oreintal Research Institute (Survey),Rajeshwar Pandey,,,1,Vedavyāsa,,Hindi,Devanagari,,,,,,,,,1,1,,Complete,,320,,,,,Plant Products -> Paper / कागज,,Itihāsa,,,08/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Prakṣabodha,NBI0316415,Dev kumar Jain Oreintal Research Institute (Survey),Veerayatan,,,15,,,Rajasthani,Gujarati,,,Gujarati,,,,,,18,89,,Complete,2,4,,,,,Plant Products -> Paper / कागज,,Jaina,,,24/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Candanaṣaṣṭhīvratakathā,NBO0021415,Dev kumar Jain Oreintal Research Institute (Survey),Sri  N.K.C.K,,,15,Kalikāprasādabrāhmaṇa,,Sanskrit,Devanagari,,,,,,,,,Da,557,,Complete,3,,,25.7,11,,Plant Products -> Paper / कागज,"Bad, Brittle",Kathā,,,08/08/2005,,,No,,,,,No,No,,,,,,,manus_dt: Samvat 1882,
Caturviṁśatistotra,NBO0021512,Dev kumar Jain Oreintal Research Institute (Survey),Sri Parsvanath Digambar Jain Panchayati Mandir,,,12,,,Sanskrit,Devanagari,,,,,,,,,A,10/42,,Complete,110,1,,20.3,15.8,,Plant Products -> Paper / कागज,,Stotra,,,08/08/2005,,,No,,,,,No,No,,,,,,,manus_dt: Samvat 1931,
Kusumāṅjalī,NBI031411,Dev kumar Jain Oreintal Research Institute (Survey),Ram Narayan Mahato,,,1,,Sv.Ramchandra Mahato,Sanskrit,Devanagari,,,,,,,,,,,,Complete,,29,,6,8,,Plant Products -> Paper / कागज,"Bad, Brittle",Kāvya,,,24/08/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1931,
Rāmāyaṇa,NBI010621,Dev kumar Jain Oreintal Research Institute (Survey),Butan Sharma,,,1,Tulasīdāsa,,Hindi,Devanagari,,,,,,,,,1,1,,Complete,,350,,,,,Plant Products -> Paper / कागज,,Itihāsa,,,05/08/2005,,,No,,,,,No,No,,,,,,,manus_dt: 6months,
Prāyaścitatattva,NBO002755,Dev kumar Jain Oreintal Research Institute (Survey),Nava Nalanda Mahavihara,,,5,Raghunandan,,Sanskrit,Bengali,,,,,,,,,,11110,,Complete,,,,39,7.5,,Plant Products -> Paper / कागज,"Bad, Broken",Dharmaśāstra,,,25/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Devapūjā,NBO0021416,Dev kumar Jain Oreintal Research Institute (Survey),Sri  N.K.C.K,,,16,,,Sanskrit,Devanagari,,,,,,,,,Da,261,,Incomplete,39,,,15,13,,Plant Products -> Paper / कागज,"Bad, Brittle",Dharmaśāstra,,,08/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Pitṛkarmanirṇaya (ṭīkā),NBI031043,Dev kumar Jain Oreintal Research Institute (Survey),Uma Nath Thakur,,,3,Manoharaṭhākura,,-,-,,,,,,,,,,,,Incomplete,80,20,,10,15,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Dharmaśāstra,,,24/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Sārasvat,NBO0030284,Dev kumar Jain Oreintal Research Institute (Survey),Dev Kumar Jain Oriental Library,,,84,,,Sanskrit,Devanagari,,,,,,,,,D,116/16/4,,Incomplete,34,,,27.2,11.5,,Plant Products -> Paper / कागज,"Bad, Brittle",,,,17/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Janmakuṇḍalī,NBI011661,Dev kumar Jain Oreintal Research Institute (Survey),Buchul Pandey,,,1,Vyāsa,,Sanskrit,Devanagari,,,,,,,,,1,1,,Complete,,124,,24,12,,Plant Products -> Paper / कागज,,Jyotiṣa,,,11/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Jinastava,NBO0021513,Dev kumar Jain Oreintal Research Institute (Survey),Sri Parsvanath Digambar Jain Panchayati Mandir,,,13,,,Sanskrit,Devanagari,,,,,,,,,A,10/31,,Complete,98,,,,,,Plant Products -> Paper / कागज,,Jaina,,,09/08/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1931 Samvat,
