title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era,filename
निर्णयसिन्धु,BOO0000979,"Bhandarkar Oriental Research Institute, Pune",V.S.M. (Kelakar Collection),,,79,,,Sanskrit,Devanagari,,,,,,,,,,4057,,Incomplete,,149,end part,,,,Plant Products -> Paper / कागज,,,,,26/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
मणिकर्णिकास्तोत्र,BOO00009165,"Bhandarkar Oriental Research Institute, Pune",V.S.M. (Dikshit-Bhor),,,165,परिव्राजकाचार्य,,Sanskrit,Devanagari,,,,,,,,,,6181,,Complete,,4,,,,,Plant Products -> Paper / कागज,,Stotra,,,14/09/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
षडन्वयपरीक्षा,BOO000072296,"Bhandarkar Oriental Research Institute, Pune",Anandashram Sanstha,,,2296,,,Sanskrit,Devanagari,,,,,,,,,65,513-5-234,,Incomplete,,79,Folios 11&12,,,,Plant Products -> Paper / कागज,,Tantra,,,06/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
पुण्याहवाचन,BOO0000199,"Bhandarkar Oriental Research Institute, Pune",B.O.R.I. (Bhole Collection),-,,99,-,-,Sanskrit,Devanagari,-,-,,,,,,,,217,,Complete,7,,-,-,-,-,Plant Products -> Paper / कागज,Bad,Dharmaśāstra,,,10/09/2004,,,No,,,,,No,No,,,,,,,manus_dt: -,,
पुण्याहवाचन,BOO0000199,"Bhandarkar Oriental Research Institute, Pune",B.O.R.I. (Bhole Collection),-,,99,-,-,Sanskrit,Devanagari,-,-,,,,,,,,217,,Complete,7,,-,-,-,-,Plant Products -> Paper / कागज,Bad,Dharmaśāstra,,,10/09/2004,,,No,,,,,No,No,,,,,,,manus_dt: -,,
निर्णयसिन्धु,BOO0000979,"Bhandarkar Oriental Research Institute, Pune",V.S.M. (Kelakar Collection),,,79,,,Sanskrit,Devanagari,,,,,,,,,,4057,,Incomplete,,149,end part,,,,Plant Products -> Paper / कागज,,,,,26/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
मणिकर्णिकास्तोत्र,BOO00009165,"Bhandarkar Oriental Research Institute, Pune",V.S.M. (Dikshit-Bhor),,,165,परिव्राजकाचार्य,,Sanskrit,Devanagari,,,,,,,,,,6181,,Complete,,4,,,,,Plant Products -> Paper / कागज,,Stotra,,,14/09/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
षडन्वयपरीक्षा,BOO000072296,"Bhandarkar Oriental Research Institute, Pune",Anandashram Sanstha,,,2296,,,Sanskrit,Devanagari,,,,,,,,,65,513-5-234,,Incomplete,,79,Folios 11&12,,,,Plant Products -> Paper / कागज,,Tantra,,,06/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
पुण्याहवाचन,BOO0000199,"Bhandarkar Oriental Research Institute, Pune",B.O.R.I. (Bhole Collection),-,,99,-,-,Sanskrit,Devanagari,-,-,,,,,,,,217,,Complete,7,,-,-,-,-,Plant Products -> Paper / कागज,Bad,Dharmaśāstra,,,10/09/2004,,,No,,,,,No,No,,,,,,,manus_dt: -,,
मणिकर्णिकास्तोत्र,BOO00009165,"Bhandarkar Oriental Research Institute, Pune",V.S.M. (Dikshit-Bhor),,,165,परिव्राजकाचार्य,,Sanskrit,Devanagari,,,,,,,,,,6181,,Complete,,4,,,,,Plant Products -> Paper / कागज,,Stotra,,,14/09/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
ज्वरशान्ति,BOO00009127,"Bhandarkar Oriental Research Institute, Pune",V.S.M. (Gurumaharaj coll.),,,127,,,Sanskrit,Devanagari,,,,,,,,,,11770,,Complete,,4,,,,,Plant Products -> Paper / कागज,,Dharmaśāstra,,,18/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
ज्वरशान्ति,BOO00009127,"Bhandarkar Oriental Research Institute, Pune",V.S.M. (Gurumaharaj coll.),,,127,,,Sanskrit,Devanagari,,,,,,,,,,11770,,Complete,,4,,,,,Plant Products -> Paper / कागज,,Dharmaśāstra,,,18/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
दुःखस्वप्ननाश,BOI00017117,"Bhandarkar Oriental Research Institute, Pune",Tatya Shastri Garge Collection,,,117,,,,,,,,,,,,,206,53,,Incomplete,,1,Text is incomplete,6.2,11.4,,Plant Products -> Paper / कागज,Bad,Dharmaśāstra,,,16/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
दुःखस्वप्ननाश,BOI00017117,"Bhandarkar Oriental Research Institute, Pune",Tatya Shastri Garge Collection,,,117,,,,,,,,,,,,,206,53,,Incomplete,,1,Text is incomplete,6.2,11.4,,Plant Products -> Paper / कागज,Bad,Dharmaśāstra,,,16/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
दुःखस्वप्ननाश,BOI00017117,"Bhandarkar Oriental Research Institute, Pune",Tatya Shastri Garge Collection,,,117,,,,,,,,,,,,,206,53,,Incomplete,,1,Text is incomplete,6.2,11.4,,Plant Products -> Paper / कागज,Bad,Dharmaśāstra,,,16/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
प्रतिष्ठाप्रयोग,BOO00009120,"Bhandarkar Oriental Research Institute, Pune",V.S.M. (Gore Collection),,,120,,,Sanskrit,Devanagari,,,,,,,,,,4280,,Incomplete,,14,end part,,,,Plant Products -> Paper / कागज,,Dharmaśāstra,,,29/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,,
