title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era
Rāmāyaṇa(Kiṣindhākāṇḍa),NOI194178,"OSM, Bhubaneswar",Birabar Padhi,,,8,Balarāmadāsa,,Oriya,Oriya,,,,,,,,,1,,,Complete,90,,,3,23,,Plant Products -> Palm leaf / ताड़ पत्र,,Itihāsa,,,25/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Dāhāṇijhāḍiṇi,NOI1430710,"OSM, Bhubaneswar",Meta Jani,,,10,Sanyāsimājhi,,Oriya,Oriya,,,,,,,,,1,2,,Incomplete,30,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Brittle",Tantra,,,16/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Vyāsamahābhārata,NOI182568,"OSM, Bhubaneswar",Prasanta Mohapatra,,,8,Sāralādāsa,,Oriya,Oriya,,,,,,,,,2,,,Complete,140,280,,4,18,,Plant Products -> Palm leaf / ताड़ पत्र,,Itihāsa,,,23/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Kālacakra,NOI073527,"OSM, Bhubaneswar",Nilandra Hantal,,,7,Somanāthahantala,Somanāthahantala,Oriya,Oriya,,,,,,,,,1,1,,Complete,50,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Jyotiṣa,,,02/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Satyanārāyaṇapālā,NOI1035015,"OSM, Bhubaneswar",Nirmal Panigrahi,,,15,,,Oriya,Oriya,,,,,,,,,2,16,,Complete,50,90,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Dharmaśāstra,,,28/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Śrīmadbhāgavata- Skandha-IX,NOI116347,"OSM, Bhubaneswar",Benudhar Padhi,,,7,,,Oriya,Oriya,,,,,,,,,9,,,Complete,250,500,,5,8,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Purāṇa,,,22/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Mahābhārata(Madyakāṇḍa ),NOI179594,"OSM, Bhubaneswar",Rabindra Mohan Panda,,,4,Saralādāsa,,Sanskrit,Oriya,,,,,,,,,2,,,Complete,42,84,,4,35,,Plant Products -> Palm leaf / ताड़ पत्र,,Itihāsa,,,22/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Mahābhārata,NOI0407614,"OSM, Bhubaneswar",Shesadeva Dash,,,14,,,Oriya,Oriya,,,,,,,,,67,67,,Complete,,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Itihāsa,,,08/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
सप्तश्लोकीगीता,ROI00046491,"Rajasthan Oriental Research Institute, Jodhpur","45 श्री सरस्वती पुस्तकालय,फतेहपुर",,,491,,,Sanskrit,Devanagari,,,,,,,,,,34696/1,,Complete,4,,,,,,Plant Products -> Paper / कागज,Bad,Stotra,,,02/08/2004,,,No,,,,,No,No,,,,,,,manus_dt: 1910वि.स.,
Rāmāṣṭaka,NOI1747251,"OSM, Bhubaneswar",Jogendra Mishra,,,51,,Bhikhārīmiśra,Sanskrit,Oriya,,,,,,,,,1,1,,Incomplete,150,300,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Stotra,,,16/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Śrībhāgavata(prathama-dvādaśa ),NOI081132,"OSM, Bhubaneswar",Village kotha Ghara,,,2,Jagannāthadāsa,,Oriya,Oriya,,,,,,,,,,,,Complete,,,,14,12,,Plant Products -> Palm leaf / ताड़ पत्र,,Purāṇa,,,09/11/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1900,
Nṛsiṃhapurāṇa,NOI137177,"OSM, Bhubaneswar",Ajit Balaiarsingh,,,7,,,Oriya,Oriya,,,,,,,,,,,,Complete,135,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Purāṇa,,,14/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Bhāgavata,NOI050313,"OSM, Bhubaneswar",Dayanidhi Khuntia,,,3,,,Oriya,Oriya,,,,,,,,,,3,,Incomplete,150,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Purāṇa,,,10/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Ekādaśīvratakathā,NOI061043,"OSM, Bhubaneswar",Damru Meher,,,3,,,Oriya,Oriya,,,,,,,,,,,,,,208,,2,10inch,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Kathā,,,09/11/2005,,,No,,,,,No,No,,,,,,,manus_dt: Morethan180yrs,
Guptabhāgavata,NOO0074616,"OSM, Bhubaneswar","Bhagavata Tungi, Sarangapur",,,16,,,Oriya,Oriya,,,,,,,,,9,,,Complete,120,220,,4,26,,Plant Products -> Palm leaf / ताड़ पत्र,,Purāṇa,,,16/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Rāmāyaṇa,NOI055524,"OSM, Bhubaneswar",Jadumani Singh Deo,,,4,,,Oriya,Oriya,,,,,,,,,,,,Incomplete,,152,,18,6,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Itihāsa,,,09/11/2005,,,No,,,,,No,No,,,,,,,manus_dt: 100yrsabove,
Mantra,NOI066491,"OSM, Bhubaneswar",Parsharam Nahaka,,,1,,,Sanskrit,Oriya,,,,,,,,,,,,Complete,70,140,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Mantra,,,10/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Saṅkīrtanya,NOI0398326,"OSM, Bhubaneswar",Sri Alekh Guru,,,26,,,Oriya,Oriya,,,,,,,,,,,,Incomplete,,72,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,,,,10/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Rāmāyaṇa,NOI0728122,"OSM, Bhubaneswar",Nila Kantha Panda,,,22,,,Oriya,Oriya,,,,,,,,,,10,,Complete,150,,,1.25,18,,Plant Products -> Palm leaf / ताड़ पत्र,,Itihāsa,,,27/10/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Tārīḵh-i-Salāṭīn-i-Īrān,RRO000011216,"Rampur Raza Library, Rampur","Aligarh,Maulana Azad Library",تاریخ سلاطین,,1216,Nil,,Persian,Nastaliq,,,,,,,,,Tarikh,University/65,,Complete,381,,,,,,Plant Products -> Paper / कागज,,Itihāsa,,,16/03/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
yoginī,NOI080412,"OSM, Bhubaneswar",Sagar Gauda,,,2,,,Oriya,Oriya,,,,,,,,,1,4,,Complete,,,,6,,,Plant Products -> Palm leaf / ताड़ पत्र,,Tantra,,,09/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Śivapurāṇa,NOI1970116,"OSM, Bhubaneswar",Umakanta Panda,,,16,,Balarāma Miśra,Oriya,Oriya,,,,,,,,,1,1,,Complete,80,160,,12,4,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Brittle",Purāṇa,,,10/11/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1320,
Śrīmahābhārata Madhyaparva,NOO009998,"OSM, Bhubaneswar",Laxmi Narayan Mandir,,,8,Sāralādāsa,,Oriya,Oriya,,,,,,,,,,,,Complete,162,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Itihāsa,,,18/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Aindrajāla,NOI074295,"OSM, Bhubaneswar",Ananta Khilla,,,5,,,,Oriya,,,,,,,,,2,2,,Complete,53,106,,6,2,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Kalā,,,31/10/2005,,,No,,,,,No,No,,,,,,,manus_dt: 70 years old,
Bhāgavata (Dvādaśaskandha),NOI0443812,"OSM, Bhubaneswar",Dhruba Meher,,,12,,,Oriya,,,,,,,,,,,82,,Complete,,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Purāṇa,,,14/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Chāṭaśālī Padhā,NOI0295116,"OSM, Bhubaneswar",Dilip Kumar Paikaray,,,16,,,Oriya,Oriya,,,,,,,,,7,,,Complete,59,117,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",,,,27/10/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Caṇḍīpurāṇa,NOI129642,"OSM, Bhubaneswar",Suchismita Jena,,,2,,,Oriya,Oriya,,,,,,,,,1,,,Complete,81,162,,4,10,,Plant Products -> Palm leaf / ताड़ पत्र,,Purāṇa,,,30/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Bhṛgusaṁhitā,NOI164979,"OSM, Bhubaneswar",Raj Kishore Panda,,,9,,,Oriya,Oriya,,,,,,,,,1,,,Incomplete,,128,,,,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Jyotiṣa,,,30/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Bhāgavata,NOI102618,"OSM, Bhubaneswar",Kishore Satapathy,,,8,,,Oriya,Oriya,,,,,,,,,45,17,,Incomplete,1,1,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Purāṇa,,,25/11/2005,,,No,,,,,No,No,,,,,,,manus_dt: 100 years,
Bhāgavata,NOO005121,"OSM, Bhubaneswar","Bhagavata Gadi, Useem",,,1,Jagannāthadāsa,,Oriya,Oriya,,,,,,,,,13,,,Incomplete,,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Purāṇa,,,30/11/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1333sāla,
Sarpamantra,NOI161004,"OSM, Bhubaneswar",Ananda Chandra Pati,,,4,,,Oriya,Oriya,,,,,,,,,,,,Complete,75,150,,10,45,,Plant Products -> Palm leaf / ताड़ पत्र,,Mantra,,,22/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Bhāgavata,NOI102619,"OSM, Bhubaneswar",Kishore Satapathy,,,9,,,Oriya,Oriya,,,,,,,,,45,10,,Incomplete,1,1,,3,12,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Worm eaten",Purāṇa,,,25/11/2005,,,No,,,,,No,No,,,,,,,manus_dt: 100 years,
Govindāṣṭaka,NOI01717146,"OSM, Bhubaneswar",Baikunthanatha Parida,,,146,,,Sanskrit,Oriya,,,,,,,,,,,,Incomplete,3,6,,,,,Plant Products -> Palm leaf / ताड़ पत्र,Bad,Stotra/Manqabat,,,30/11/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Pīlājhaḍāphūṅkā,NOI165413,"OSM, Bhubaneswar",Subash Dash,,,3,,,Oriya,Oriya,,,,,,,,,5,5,,Complete,58,122,,16.2,3.1,,Plant Products -> Palm leaf / ताड़ पत्र,,Mantra,,,22/11/2005,,,No,,,,,No,No,,,,,,,manus_dt: 120 years old.,
Ravigrahaṅkadhyāna,NOI03745172,"OSM, Bhubaneswar",Ganeswara Pati,,,172,,,Sanskrit,Oriya,,,,,,,,,8,2,,Complete,3,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Mantra,,,28/10/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
