title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era
Vāsavadatā,NBO00252935,Dev kumar Jain Oreintal Research Institute (Survey),Gopal Narayan Public Library (G.N Library),,,935,Mahakavi Subadhā,,Sanskrit,Devanagari,,,,,,,,,,59,,Complete,,,,6.4,5.2,,Plant Products -> Paper / कागज,"Bad, Broken",Kāvya,,,02/09/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Gītagovinda,NBO00249938,Dev kumar Jain Oreintal Research Institute (Survey),Bihar Rashtra Bhasha Parishad,,,938,Jayadeva,,Sanskrit,Devanagari,,,,,,,,,,91,,Complete,,86,,10,5,,Plant Products -> Paper / कागज,,Kāvya,,,01/09/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1850 Saṁvat,
Bsdus-don-lde-mig,NBO00250146,Dev kumar Jain Oreintal Research Institute (Survey),Bihar Research Society,,,146,Dharma-bhadra,,Tibetan,Tibetan,,,,,,,,,227,903,,Complete,907,,,19,0.7,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Kāvya,,,02/09/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Satyadharmavicāra,NBO00252938,Dev kumar Jain Oreintal Research Institute (Survey),Gopal Narayan Public Library (G.N Library),,,938,Dayānandasarasvatī,,-,-,,,,,,,,,275,,,Complete,,25,,24,15.5,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Dharmaśāstra,,,31/08/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1966Samvat,
Kārtavīryajunakavaca,NBO00257119,Dev kumar Jain Oreintal Research Institute (Survey),Patna Visvavidyalaya Pustakalaya,,,119,,,Sanskrit,-,,,,,,,,,3/12,17,,Complete,4,8,,12,4,,Plant Products -> Paper / कागज,,Tantra,,,02/09/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Śākalasaṁhitā,NBO00252937,Dev kumar Jain Oreintal Research Institute (Survey),Gopal Narayan Public Library (G.N Library),,,937,,,Sanskrit,Devanagari,,,,,,,,,405,1057,,Complete,,710,,,,,Plant Products -> Paper / कागज,,,,,02/09/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1900 Sana,
Vicāragaṇāvalī,NBO00249937,Dev kumar Jain Oreintal Research Institute (Survey),Bihar Rashtra Bhasha Parishad,,,937,Kṛṣṇakārakhadāsa,Śyāmadāsa,Hindi,Devanagari,,,,,,,,,,38,,Complete,,24,,7.7,7,,Plant Products -> Paper / कागज,Bad,Kāvya,,,31/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Vṛttadarpaṇa,NBO00257118,Dev kumar Jain Oreintal Research Institute (Survey),Patna Visvavidyalaya Pustakalaya,,,118,Jānakīnandana,,Sanskrit,-,,,,,,,,,1/2,6,,Incomplete,28,,,12,4,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Vedāṅga,Alaṃkāraśāstra,,02/09/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Saṅdhyāprayoga,NBO00252936,Dev kumar Jain Oreintal Research Institute (Survey),Gopal Narayan Public Library (G.N Library),,,936,,,Sanskrit,Devanagari,,,,,,,,,406,1065,,Complete,5,,,,,,Plant Products -> Paper / कागज,"Bad, Broken",Dharmaśāstra,,,31/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Mahābhāṣya,NBI0289255,Dev kumar Jain Oreintal Research Institute (Survey),Candra Mohan Jha (Madhepur),,,55,Patañjali,Pt.Vaṅśīdharajhā,Sanskrit,Tirhuta/Mithilakshar‎,Pradīpa,Kaisar..?,,,,,,,,,,Incomplete,149,298,,9,4,,Plant Products -> Paper / कागज,Bad,,,,31/08/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1883,
Kanhāījīkegīta,NBO00249939,Dev kumar Jain Oreintal Research Institute (Survey),Bihar Rashtra Bhasha Parishad,,,939,Kanhāīprasāda,,Sanskrit,Devanagari,,,,,,,,,,400,,Incomplete,,5,,8,5.6,,Plant Products -> Paper / कागज,"Bad, Brittle",Kāvya,,,31/08/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Gītāvalī(Saptakāṇḍa),NBO00252939,Dev kumar Jain Oreintal Research Institute (Survey),Gopal Narayan Public Library (G.N Library),,,939,Gosāītulasīdāsa,,Sanskrit,Devanagari,,,,,,,,,430,1204,,Complete,,123,,,,,Plant Products -> Paper / कागज,,Kāvya,,,31/08/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1893samvat,
Ṛgvedabhāṣya(10 Bhāga),NBO00252940,Dev kumar Jain Oreintal Research Institute (Survey),Gopal Narayan Public Library (G.N Library),,,940,Īśvara,,Sanskrit,-,,,,,,,,,77,160,,Complete,,289,,9.8,6.5,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Veda,,,02/09/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1961,
