title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era
Śrīagrasvāmījī kā jīvanacaritra,NUO00176212,Uttar Pradesh Survey,Sri Rasamoda Kunj,,,212,,,Hindi,Devanagari,,,,,,,,,06,6.2,,Complete,23,46,,13,9,,Plant Products -> Paper / कागज,,Itihāsa,,,06/09/2005,,,No,,,,,No,No,,,,,,,manus_dt: 76 Varṣaprācīna,
Rāmacaritamānasa,NUO001908,Uttar Pradesh Survey,Tapasvi Ji Ki Chavani,,,8,,,Hindi,Devanagari,,,,,,,,,1,1.3,,Incomplete,193,386,,27,14,,Plant Products -> Paper / कागज,"Bad, Worm eaten",Itihāsa,,,05/09/2005,,,No,,,,,No,No,,,,,,,manus_dt: Saṃvata 1928,
Sundarakāṇḍa (Bhāga cār),NUO00173401,Uttar Pradesh Survey,Sri Ram Granthalaya,,,401,,,Hindi,Devanagari,,,,,,,,,17,17.4,,Complete,65,130,,11,8.5,,Plant Products -> Paper / कागज,,Itihāsa,,,05/09/2005,,,No,,,,,No,No,,,,,,,manus_dt: Appox.100 year,
Mārkaṇḍeyapurāṇa,NUO0017742,Uttar Pradesh Survey,Ram Katha Sangrhalaya,,,42,,,Sanskrit,Devanagari,,,,,,,,,,,,Complete,1,2,,28,12,,Plant Products -> Paper / कागज,"Bad, Brittle",Purāṇa,,,06/09/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Viṣṇusahasranāma,NUI00126690,Uttar Pradesh Survey,Hindi Sahitya Pustakalaya,,,690,,,Sanskrit,Devanagari,,,,,,,,,,232,,Complete,,63,,26.5,11.4,,Plant Products -> Paper / कागज,,Stotra,,,07/09/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1658purva,
Rāmarakṣāstotra,NUO000692110,Uttar Pradesh Survey,Rastriya Sanskrit Sansthan (Deemed University),,,2110,Viśvāmitra,,Sanskrit,Devanagari,,,,,,,,,,2265/330,,Incomplete,1,1,,15.2,10,,Plant Products -> Paper / कागज,,Stotra,,,23/09/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Rūpasaṣītīha-2,NUO00187245,Uttar Pradesh Survey,Sri Maniram Das Chavani Trust,,,245,,,Sanskrit,Devanagari,,,,,,,,,7133/5,,,Complete,10,20,,36,14,,Plant Products -> Paper / कागज,,,,,06/09/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1936 Sana,
Rāmakathācitra donoṁ ora lipi,NUO0017743,Uttar Pradesh Survey,Ram Katha Sangrhalaya,,,43,,,Sanskrit,Devanagari,,,,,,,,,,,,Complete,1,2,,24,30,,Plant Products -> Paper / कागज,"Bad, Brittle",Kalā,Purāṇa,,06/09/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Citrakūṭasata,NUO00173400,Uttar Pradesh Survey,Sri Ram Granthalaya,,,400,Śrī Kṛpārāmajī,,Sanskrit,Devanagari,,,,,,,,,16,16.5,,Complete,7,14,,11.5,6,,Plant Products -> Paper / कागज,"Bad, Worm eaten",,,,05/09/2005,,,No,,,,,No,No,,,,,,,manus_dt: Appox. 100 year,
Rāmārcanasopāna,NUO00173402,Uttar Pradesh Survey,Sri Ram Granthalaya,,,402,Śivalālaśarmā,,Sanskrit,Devanagari,,,,,,,,,2,2.44,,Complete,30,60,,10.5,4.5,,Plant Products -> Paper / कागज,"Bad, Worm eaten",,,,05/09/2005,,,No,,,,,No,No,,,,,,,manus_dt: V.S. 1900,
